sat_id,dst_ground_id,t_gen_s,t_arrive_s,data_age_s,n_hops,path
MEO_P1_S1,gs7,1735689600.0,1735689600.0835483,0.08354830741882324,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689600.0,1735689600.078875,0.07887506484985352,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689600.0,1735689600.0846324,0.08463239669799805,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689600.0,1735689600.1601744,0.16017436981201172,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689600.0,1735689600.1607068,0.1607067584991455,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689600.0,1735689600.0931573,0.09315729141235352,1,MEO_P2_S3->gs2
MEO_P2_S4,gs7,1735689600.0,1735689600.0908906,0.09089064598083496,1,MEO_P2_S4->gs7
MEO_P3_S2,gs7,1735689600.0,1735689600.0826006,0.08260059356689453,1,MEO_P3_S2->gs7
MEO_P3_S3,gs2,1735689600.0,1735689600.0777385,0.07773852348327637,1,MEO_P3_S3->gs2
MEO_P3_S4,gs1,1735689600.0,1735689600.0864692,0.08646917343139648,1,MEO_P3_S4->gs1
MEO_P3_S5,gs1,1735689600.0,1735689600.161969,0.16196894645690918,2,MEO_P3_S5->MEO_P3_S4->gs1
MEO_P1_S1,gs7,1735689601.0,1735689601.0835466,0.08354663848876953,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689601.0,1735689601.078875,0.07887506484985352,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689601.0,1735689601.0846336,0.08463358879089355,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689601.0,1735689601.1601758,0.16017580032348633,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689601.0,1735689601.1606998,0.16069984436035156,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689601.0,1735689601.0931573,0.09315729141235352,1,MEO_P2_S3->gs2
MEO_P2_S4,gs7,1735689601.0,1735689601.0908916,0.09089159965515137,1,MEO_P2_S4->gs7
MEO_P3_S2,gs7,1735689601.0,1735689601.0825996,0.08259963989257812,1,MEO_P3_S2->gs7
MEO_P3_S3,gs2,1735689601.0,1735689601.0777388,0.07773876190185547,1,MEO_P3_S3->gs2
MEO_P3_S4,gs1,1735689601.0,1735689601.0864706,0.0864706039428711,1,MEO_P3_S4->gs1
MEO_P3_S5,gs1,1735689601.0,1735689601.1619701,0.1619701385498047,2,MEO_P3_S5->MEO_P3_S4->gs1
MEO_P1_S1,gs7,1735689602.0,1735689602.083545,0.08354496955871582,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689602.0,1735689602.0788748,0.07887482643127441,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689602.0,1735689602.0846348,0.08463478088378906,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689602.0,1735689602.160177,0.16017699241638184,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689602.0,1735689602.160693,0.16069293022155762,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689602.0,1735689602.0931575,0.09315752983093262,1,MEO_P2_S3->gs2
MEO_P2_S4,gs7,1735689602.0,1735689602.0908926,0.09089255332946777,1,MEO_P2_S4->gs7
MEO_P3_S2,gs7,1735689602.0,1735689602.0825984,0.08259844779968262,1,MEO_P3_S2->gs7
MEO_P3_S3,gs2,1735689602.0,1735689602.0777392,0.07773923873901367,1,MEO_P3_S3->gs2
MEO_P3_S4,gs1,1735689602.0,1735689602.086472,0.0864720344543457,1,MEO_P3_S4->gs1
MEO_P3_S5,gs1,1735689602.0,1735689602.1619716,0.1619715690612793,2,MEO_P3_S5->MEO_P3_S4->gs1
MEO_P1_S1,gs7,1735689603.0,1735689603.0835433,0.08354330062866211,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689603.0,1735689603.0788748,0.07887482643127441,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689603.0,1735689603.0846362,0.08463621139526367,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689603.0,1735689603.1601782,0.16017818450927734,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689603.0,1735689603.1606863,0.16068625450134277,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689603.0,1735689603.0931578,0.09315776824951172,1,MEO_P2_S3->gs2
MEO_P2_S4,gs7,1735689603.0,1735689603.0908935,0.09089350700378418,1,MEO_P2_S4->gs7
MEO_P3_S2,gs7,1735689603.0,1735689603.0825975,0.08259749412536621,1,MEO_P3_S2->gs7
MEO_P3_S3,gs2,1735689603.0,1735689603.0777395,0.07773947715759277,1,MEO_P3_S3->gs2
MEO_P3_S4,gs1,1735689603.0,1735689603.0864732,0.08647322654724121,1,MEO_P3_S4->gs1
MEO_P3_S5,gs1,1735689603.0,1735689603.161973,0.1619729995727539,2,MEO_P3_S5->MEO_P3_S4->gs1
MEO_P1_S1,gs7,1735689604.0,1735689604.0835416,0.0835416316986084,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689604.0,1735689604.0788746,0.07887458801269531,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689604.0,1735689604.0846374,0.08463740348815918,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689604.0,1735689604.1601794,0.16017937660217285,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689604.0,1735689604.1606793,0.16067934036254883,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689604.0,1735689604.0931578,0.09315776824951172,1,MEO_P2_S3->gs2
MEO_P2_S4,gs7,1735689604.0,1735689604.0908945,0.09089446067810059,1,MEO_P2_S4->gs7
MEO_P3_S2,gs7,1735689604.0,1735689604.0825963,0.0825963020324707,1,MEO_P3_S2->gs7
MEO_P3_S3,gs2,1735689604.0,1735689604.0777397,0.07773971557617188,1,MEO_P3_S3->gs2
MEO_P3_S4,gs1,1735689604.0,1735689604.0864747,0.08647465705871582,1,MEO_P3_S4->gs1
MEO_P3_S5,gs1,1735689604.0,1735689604.1619742,0.16197419166564941,2,MEO_P3_S5->MEO_P3_S4->gs1
MEO_P1_S1,gs7,1735689605.0,1735689605.08354,0.08353996276855469,1,MEO_P1_S1->gs7
MEO_P1_S2,gs1,1735689605.0,1735689605.0788746,0.07887458801269531,1,MEO_P1_S2->gs1
MEO_P1_S3,gs2,1735689605.0,1735689605.0846386,0.08463859558105469,1,MEO_P1_S3->gs2
MEO_P1_S4,gs2,1735689605.0,1735689605.1601806,0.16018056869506836,2,MEO_P1_S4->MEO_P1_S3->gs2
MEO_P2_S2,gs2,1735689605.0,1735689605.1606724,0.16067242622375488,2,MEO_P2_S2->MEO_P1_S3->gs2
MEO_P2_S3,gs2,1735689605.0,1735689605.093158,0.09315800666809082,1,MEO_P2_S3->gs2
