epoch_utc,sat,tgt,x_s_km,y_s_km,z_s_km,x_t_km,y_t_km,z_t_km,los_u_x,los_u_y,los_u_z,range_km,visible
2025-01-01T00:00:00.000000Z,LEO_P7_S3,HGV_330,1330.8346705110687,8555.654492884594,3656.438206256488,3903.428297693566,2007.976919898685,4766.963980938112,0.3612153605855641,-0.9193530181112965,0.15592784025532747,7122.049358621076,1
2025-01-01T00:00:01.000000Z,LEO_P7_S3,HGV_330,1330.2205074377714,8559.207884560881,3653.035966589759,3901.718211369078,2005.190842413848,4769.503740541511,0.36073927086057245,-0.9194219094099741,0.15662225562128693,7128.410771016953,1
2025-01-01T00:00:02.000000Z,LEO_P7_S3,HGV_330,1329.6052757851737,8562.751146481422,3649.629351838861,3900.002344321069,2002.4022371140054,4772.036930673412,0.36026356935301423,-0.9194901220596587,0.1573152123341535,7134.76822858328,1
2025-01-01T00:00:03.000000Z,LEO_P7_S3,HGV_330,1328.9905679701392,8566.294543622964,3646.222737087963,3898.280698483448,1999.6111074026096,4774.563547771819,0.359787620439863,-0.9195580443176992,0.15800592175241207,7141.129890384193,1
2025-01-01T00:00:04.000000Z,LEO_P7_S3,HGV_330,1328.376384009116,8569.838075927948,3642.8161223370653,3896.5532757813135,1996.8174566792018,4777.083588262342,0.3593114269270477,-0.9196256790136507,0.1586943886163931,7147.495735763571,1
2025-01-01T00:00:05.000000Z,LEO_P7_S3,HGV_330,1327.7627239185458,8573.381743338823,3639.4095075861674,3894.8200781309756,1994.0212883394477,4779.597048558167,0.3588349916007799,-0.9196930289594277,0.15938061766193956,7153.865744142358,1
2025-01-01T00:00:06.000000Z,LEO_P7_S3,HGV_330,1327.1432673272584,8576.884533017335,3635.985577015971,3893.0811074399753,1991.2226057751657,4782.103925060027,0.3583608357881418,-0.9197585676358303,0.16006776263105033,7160.2072097791,1
2025-01-01T00:00:07.000000Z,LEO_P7_S3,HGV_330,1326.524328657927,8580.387458608611,3632.5616464457744,3891.336365607096,1988.4214123743584,4784.604214156172,0.35788643493974404,-0.9198238286252132,0.16075267954026456,7166.552812712772,1
2025-01-01T00:00:08.000000Z,LEO_P7_S3,HGV_330,1325.9059079270792,8583.890520055738,3629.137715875578,3889.5858545223923,1985.6177115212456,4787.097912222339,0.3574117918066573,-0.9198888146936561,0.16143537307249345,7172.902532499939,1
2025-01-01T00:00:09.000000Z,LEO_P7_S3,HGV_330,1325.2880051512345,8587.393717301808,3625.713785305382,3887.829576067195,1982.811506596291,4789.585015621719,0.3569369091206641,-0.9199535285899417,0.16211584790606395,7179.256348773059,1
2025-01-01T00:00:10.000000Z,LEO_P7_S3,HGV_330,1324.670620346909,8590.897050289906,3622.289854735185,3886.067532114142,1980.002800976239,4792.0655207049385,0.35646178959436364,-0.9200179730456343,0.16279410871461605,7185.614241240217,1
2025-01-01T00:00:11.000000Z,LEO_P7_S3,HGV_330,1324.0537535306125,8594.40051896312,3618.865924164989,3884.299724527188,1977.191598034141,4794.539423810015,0.35598643592127405,-0.9200821507751601,0.16347016016699903,7191.976189684853,1
2025-01-01T00:00:12.000000Z,LEO_P7_S3,HGV_330,1323.437404718849,8597.904123264532,3615.4419935947926,3882.5261551616272,1974.377901139388,4797.006721262341,0.3555108507759367,-0.9201460644758863,0.1641440069271722,7198.342173965493,1
2025-01-01T00:00:13.000000Z,LEO_P7_S3,HGV_330,1322.8215739281175,8601.407863137227,3612.018063024596,3880.7468258641093,1971.561713657744,4799.467409374641,0.3550350368140182,-0.9202097168282015,0.1648156536541043,7204.712174015481,1
2025-01-01T00:00:14.000000Z,LEO_P7_S3,HGV_330,1322.2062611749109,8604.91173852428,3608.594132454399,3878.9617384726603,1968.7430389513738,4801.921484446952,0.3545589966724138,-0.9202731104955939,0.16548510500167574,7211.086169842707,1
2025-01-01T00:00:15.000000Z,LEO_P7_S3,HGV_330,1321.5914664757174,8608.415749368776,3605.170201884203,3877.170894816696,1965.9218803788774,4804.368942766589,0.35408273296934806,-0.9203362481247311,0.16615236561858154,7217.464141529342,1
2025-01-01T00:00:16.000000Z,LEO_P7_S3,HGV_330,1320.9771898470192,8611.91989561379,3601.746271314007,3875.3742967170447,1963.0982412953178,4806.809780608116,0.35360624830447795,-0.9203991323455393,0.16681744014823616,7223.846069231569,1
2025-01-01T00:00:17.000000Z,LEO_P7_S3,HGV_330,1320.3634313052921,8615.424177202394,3598.3223407438104,3873.5719459859656,1960.2721250522552,4809.243994233317,0.3531295452589948,-0.920461765771282,0.1674803332286789,7230.231933179312,1
2025-01-01T00:00:18.000000Z,LEO_P7_S3,HGV_330,1319.7501908670076,8618.928594077664,3594.898410173614,3871.7638444271647,1957.4435349977769,4811.671579891163,0.35265262639572414,-0.9205241509986389,0.1681410494924803,7236.621713675971,1
2025-01-01T00:00:19.000000Z,LEO_P7_S3,HGV_330,1319.137468548631,8622.433146182677,3591.474479603418,3869.9499938358144,1954.6124744765289,4814.092533817785,0.3521754942592274,-0.9205862906077856,0.1687995935666512,7243.015391098152,1
2025-01-01T00:00:20.000000Z,LEO_P7_S3,HGV_330,1318.5252643666222,8625.937833460497,3588.050549033221,3868.1303959985744,1951.778946829748,4816.5068522364445,0.3516981513759029,-0.9206481871624703,0.169455970072552,7249.412945895406,1
2025-01-01T00:00:21.000000Z,LEO_P7_S3,HGV_330,1317.9135783374356,8629.442655854195,3584.626618463025,3866.3050526936054,1948.942955395293,4818.914531357499,0.3512206002540848,-0.9207098432100941,0.1701101836258029,7255.814358589951,1
