t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
1.8000000000000005,1112919.5370130066,1079627.1664376743,6309425.252354772,-3378.286713908889,-3615.644625315905,1207.2685423074279,-2.116052695803317,-1.04946500507367,-9.007115149863685
1.9000000000000006,1112581.6977613522,1079265.5967278178,6309545.934173427,-3378.4982963395314,-3615.749546352309,1206.3678191415968,-2.1155959693919617,-1.0489557520691053,-9.007348236621057
2.0000000000000004,1112243.8373537387,1078904.0165284039,6309666.5259186,-3378.7098331027673,-3615.854416466319,1205.4670726601037,-2.115139254581209,-1.048446493202846,-9.007581463090448
2.1000000000000005,1111905.9557947316,1078542.4258445245,6309787.027587959,-3378.9213241904476,-3615.9592356509497,1204.5663028489787,-2.1146824583206563,-1.0479371878113843,-9.007814782678443
2.2000000000000006,1111568.0530889006,1078180.8246812737,6309907.43917917,-3379.1327695944315,-3616.0640039038813,1203.665509703568,-2.1142256853636336,-1.0474278999026856,-9.008048148825756
2.3000000000000007,1111230.1292408127,1077819.2130437437,6310027.760689899,-3379.3441693275204,-3616.1687212309303,1202.7646932192135,-2.1137689705938083,-1.046918664360418,-9.008281608112148
2.400000000000001,1110892.1842550351,1077457.5909370275,6310147.992117814,-3379.5555233885502,-3616.2733876367533,1201.8638533819455,-2.1133122092578542,-1.0464094288181505,-9.008515207096925
2.500000000000001,1110554.218136135,1077095.9583662164,6310268.133460576,-3379.766831769372,-3616.378003116694,1200.9629901777942,-2.1128554013557714,-1.045900140888988,-9.008748922497025
2.600000000000001,1110216.2308886813,1076734.3153364041,6310388.184715849,-3379.9780944688214,-3616.482567664931,1200.0621035974461,-2.112398616736753,-1.04539087624289,-9.008982754312447
2.700000000000001,1109878.2225172413,1076372.6618526834,6310508.145881295,-3380.1893114927193,-3616.5870812919425,1199.1611936269317,-2.111941855400799,-1.0448816581629208,-9.009216679260126
2.800000000000001,1109540.1930263827,1076010.9979201457,6310628.016954575,-3380.4004828399015,-3616.6915439965637,1198.260260261594,-2.111485105706377,-1.0443724517244837,-9.00945062749087
2.9000000000000012,1109202.1424206733,1075649.323543884,6310747.7979333475,-3380.6116085138606,-3616.7959557822874,1197.3593035014335,-2.111028332728891,-1.0438632336445144,-9.009684692136934
3.0000000000000013,1108864.07070468,1075287.6387289893,6310867.488815275,-3380.8226885064473,-3616.9003166432926,1196.4583233231667,-2.1105715073645097,-1.0433539631776503,-9.009918943047515
3.1000000000000014,1108525.977882972,1074925.9434805554,6310987.089598012,-3381.0337228153335,-3617.004626574923,1195.557319712824,-2.110114705283193,-1.0428447334561488,-9.010153287090352
3.2000000000000015,1108187.8639601169,1074564.2378036743,6311106.600279218,-3381.244711447504,-3617.108885589984,1194.6562926657487,-2.109657943947239,-1.0423355619423083,-9.010387677699319
3.3000000000000016,1107849.7289406825,1074202.5217034374,6311226.020856545,-3381.455654404123,-3617.2130936873114,1193.7552421772841,-2.1092011418659222,-1.041826349683105,-9.010622138157478
3.4000000000000017,1107511.572829236,1073840.7951849368,6311345.351327653,-3381.666551675877,-3617.3172508599205,1192.8541682381172,-2.108744310680775,-1.0413171257823697,-9.010856761597088
3.5000000000000018,1107173.3956303473,1073479.0582532655,6311464.591690193,-3381.877403266259,-3617.421357112468,1191.9530708249647,-2.1082875144202244,-1.0408079368062308,-9.011091524735084
3.600000000000002,1106835.1973485828,1073117.3109135143,6311583.741941818,-3382.088209178761,-3617.5254124472817,1191.0519499331701,-2.1078307123389077,-1.040298753650858,-9.01132633443921
3.700000000000002,1106496.9779885116,1072755.553170776,6311702.80208018,-3382.298969408727,-3617.629416863198,1190.1508055580769,-2.1073738869745267,-1.0397895588539532,-9.011561190709463
