t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,1330834.6705110688,8555654.492884595,3656438.206256488,-1861.8829258277628,3749.469687294588,-3401.3624402527666
1.0,2025-10-25T21:12:00.179567Z,1330220.5074377714,8559207.884560881,3653035.966589759,-1862.514408112735,3745.4082411559098,-3403.1164507764747
2.0,2025-10-25T21:12:01.179569Z,1329605.2757851738,8562751.14648142,3649629.351838861,-1863.1433324999773,3741.348389627045,-3404.863836116272
3.0,2025-10-25T21:12:02.179570Z,1328990.5679701392,8566294.543622963,3646222.737087963,-1863.772858884492,3737.2886497604723,-3406.6112214560694
4.0,2025-10-25T21:12:03.179571Z,1328376.3840091159,8569838.075927949,3642816.122337065,-1864.402987253336,3733.2290216223996,-3408.358606795867
5.0,2025-10-25T21:12:04.179572Z,1327762.7239185458,8573381.743338823,3639409.507586167,-1865.0337175935617,3729.1695052790337,-3410.1059921356646
6.0,2025-10-25T21:12:05.179573Z,1327143.2673272584,8576884.533017335,3635985.5770159713,-1865.6524864626838,3725.115994154088,-3411.8270842567968
7.0,2025-10-25T21:12:06.179574Z,1326524.328657927,8580387.45860861,3632561.6464457745,-1866.271856417836,3721.062593123948,-3413.5481763779294
8.0,2025-10-25T21:12:07.179575Z,1325905.9079270791,8583890.52005574,3629137.715875578,-1866.89182744625,3717.009302254723,-3415.269268499062
9.0,2025-10-25T21:12:08.179576Z,1325288.0051512346,8587393.717301808,3625713.7853053818,-1867.5123995351516,3712.956121612519,-3416.990360620194
10.0,2025-10-25T21:12:09.179577Z,1324670.620346909,8590897.050289907,3622289.854735185,-1868.133572671761,3708.9030512634445,-3418.711452741327
11.0,2025-10-25T21:12:10.179578Z,1324053.7535306124,8594400.51896312,3618865.924164989,-1868.7553468432898,3704.8500912736035,-3420.432544862459
12.0,2025-10-25T21:12:11.179579Z,1323437.4047188489,8597904.123264533,3615441.9935947927,-1869.3777220369452,3700.7972417090987,-3422.1536369835912
13.0,2025-10-25T21:12:12.179580Z,1322821.5739281175,8601407.863137227,3612018.063024596,-1870.000698239927,3696.7445026360338,-3423.874729104724
14.0,2025-10-25T21:12:13.179581Z,1322206.261174911,8604911.73852428,3608594.1324543995,-1870.624275439429,3692.691874120511,-3425.5958212258565
15.0,2025-10-25T21:12:14.179582Z,1321591.4664757175,8608415.749368776,3605170.2018842036,-1871.248453622638,3688.639356228629,-3427.316913346989
