t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,2.0905140302974028e-10,3414068.5,0.0,-4775.119755073231,2.9239175617978626e-13,12435.527680643992
1.0,2025-10-25T21:12:00.179567Z,-4277.197770146173,3414051.722302091,12435.50692038076,-4775.098344983137,-34.17912190435353,12435.465399968667
2.0,2025-10-25T21:12:01.179569Z,-8554.18376296821,3413950.0985084544,24870.391075749187,-4774.962384585032,-68.35396641579774,12435.09175880043
3.0,2025-10-25T21:12:02.179570Z,-12831.18457551716,3413849.1166351154,37305.275231117615,-4774.8314337177635,-102.52883075419275,12434.718117632194
4.0,2025-10-25T21:12:03.179571Z,-17108.200136916694,3413748.7766836933,49740.15938648604,-4774.705492383488,-136.7037143706615,12434.344476463959
5.0,2025-10-25T21:12:04.179572Z,-21385.230376290332,3413649.078655799,62175.043541854466,-4774.584560584305,-170.8786167163266,12433.970835295722
6.0,2025-10-25T21:12:05.179573Z,-25658.349627819847,3413208.4727316545,74598.73163933023,-4773.991572059605,-204.97655268779053,12432.35498690719
7.0,2025-10-25T21:12:06.179574Z,-29931.53322800852,3412768.5081635416,87022.419736806,-4773.403581848972,-239.07457586755467,12430.739138518658
8.0,2025-10-25T21:12:07.179575Z,-34204.7811060416,3412329.1849584985,99446.10783428176,-4772.82058996196,-273.17268570796864,12429.123290130126
9.0,2025-10-25T21:12:08.179576Z,-38478.0931911037,3411890.50312356,111869.79593175753,-4772.242596408064,-307.2708816613812,12427.507441741596
10.0,2025-10-25T21:12:09.179577Z,-42751.4694123787,3411452.462665751,124293.48402923328,-4771.669601196733,-341.3691631801402,12425.891593353064
11.0,2025-10-25T21:12:10.179578Z,-47024.90969904982,3411015.063592093,136717.17212670905,-4771.101604337359,-375.4675297165926,12424.275744964532
12.0,2025-10-25T21:12:11.179579Z,-51298.41398029961,3410578.3059095955,149140.8602241848,-4770.538605839281,-409.5659807230842,12422.659896576
13.0,2025-10-25T21:12:12.179580Z,-55571.982185309906,3410142.1896252665,161564.5483216606,-4769.980605711783,-443.6645156519602,12421.044048187468
