t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,7242332.963356155,7242332.963356152,1.178664364751927e-09,-1594.9459097538954,1594.9459097538972,-4145.175893547998
1.0,2025-10-25T21:12:00.179567Z,7241792.971181101,7242870.385805662,-4145.175637246552,-1597.5941031733646,1592.297519346201,-4145.1751246471595
2.0,2025-10-25T21:12:01.179569Z,7241246.379890331,7243401.207504348,-8290.343585473738,-1600.2412146109784,1589.6480418306198,-4145.170511229643
3.0,2025-10-25T21:12:02.179570Z,7240699.904529746,7243932.147427479,-12435.511533700928,-1602.88872093504,1586.9989588576495,-4145.165897812128
4.0,2025-10-25T21:12:03.179571Z,7240153.545113676,7244463.205560963,-16580.679481928117,-1605.5366221020836,1584.3502704707912,-4145.16128439461
5.0,2025-10-25T21:12:04.179572Z,7239607.301656459,7244994.381890714,-20725.847430155303,-1608.1849180686384,1581.7019767135423,-4145.156670977094
6.0,2025-10-25T21:12:05.179573Z,7239034.329747588,7245498.784246867,-24870.876972015096,-1610.827736358875,1579.04811550484,-4145.136678549354
7.0,2025-10-25T21:12:06.179574Z,7238461.4699043585,7246003.308686305,-29015.90651387489,-1613.4709502312307,1576.3946481563114,-4145.116686121612
8.0,2025-10-25T21:12:07.179575Z,7237888.722141531,7246507.955195369,-33160.93605573468,-1616.1145596423173,1573.7415747115363,-4145.096693693871
9.0,2025-10-25T21:12:08.179576Z,7237316.086473861,7247012.723760392,-37305.96559759447,-1618.7585645487395,1571.0888952140895,-4145.07670126613
10.0,2025-10-25T21:12:09.179577Z,7236743.562916105,7247517.61436771,-41450.995139454266,-1621.4029649071006,1568.4366097075429,-4145.056708838389
11.0,2025-10-25T21:12:10.179578Z,7236171.151483013,7248022.6270036595,-45596.024681314055,-1624.047760673998,1565.7847182354633,-4145.036716410647
12.0,2025-10-25T21:12:11.179579Z,7235598.85218934,7248527.761654565,-49741.05422317385,-1626.6929518060253,1563.1332208414128,-4145.016723982906
13.0,2025-10-25T21:12:12.179580Z,7235026.665049835,7249033.018306766,-53886.08376503364,-1629.3385382597721,1560.4821175689506,-4144.996731555166
14.0,2025-10-25T21:12:13.179581Z,7234454.59007925,7249538.396946583,-58031.11330689343,-1631.9845199918234,1557.8314084616306,-4144.976739127424
15.0,2025-10-25T21:12:14.179582Z,7233882.627292329,7250043.897560348,-62176.142848753225,-1634.6308969587599,1555.181093563003,-4144.956746699683
16.0,2025-10-25T21:12:15.179583Z,7233310.776703823,7250549.520134385,-66321.17239061302,-1637.2776691171587,1552.5311729166135,-4144.936754271942
17.0,2025-10-25T21:12:16.179584Z,7232739.038328473,7251055.264655018,-70466.20193247282,-1639.9248364235914,1549.881646566003,-4144.916761844201
18.0,2025-10-25T21:12:17.179585Z,7232167.412181026,7251561.131108572,-74611.2314743326,-1642.5723988346265,1547.2325145547102,-4144.896769416459
