t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,-2021911.5496696702,3251986.0616084854,-5555156.326851922,-182.77361957874805,-7877.4622431135,149.36653596191547
1.0,2025-10-25T21:12:00.179567Z,-2021619.2918682587,3244401.3572971113,-5555003.353712583,-180.1583910160159,-7881.663901030049,156.5817773500189
2.0,2025-10-25T21:12:01.179569Z,-2021321.5704929854,3236806.0901888264,-5554832.296585484,-177.53186417256595,-7885.858458976301,163.82763281998618
3.0,2025-10-25T21:12:02.179570Z,-2021024.9675793494,3229210.796953427,-5554661.239458386,-174.90595004818343,-7890.053441869656,171.07348828995345
4.0,2025-10-25T21:12:03.179571Z,-2020729.4831295733,3221615.4777136454,-5554490.182331287,-172.2806486908755,-7894.248849643054,178.3193437599207
5.0,2025-10-25T21:12:04.179572Z,-2020435.1171458703,3214020.132592211,-5554319.125204189,-169.6559601486427,-7898.444682229431,185.56519922988798
6.0,2025-10-25T21:12:05.179573Z,-2020115.244776899,3206382.8077674196,-5554074.866467547,-166.98359172333477,-7902.609433396636,192.93529693719685
7.0,2025-10-25T21:12:06.179574Z,-2019796.4969971916,3198745.4534236332,-5553830.607730905,-164.31183161440822,-7906.7746162859785,200.3053946445057
8.0,2025-10-25T21:12:07.179575Z,-2019478.8738093495,3191108.0696842517,-5553586.348994262,-161.6406798706145,-7910.940230830882,207.67549235181457
9.0,2025-10-25T21:12:08.179576Z,-2019162.3752159611,3183470.6566726775,-5553342.090257619,-158.9701365406984,-7915.106276964771,215.04559005912344
10.0,2025-10-25T21:12:09.179577Z,-2018847.0012196044,3175833.2145123137,-5553097.8315209765,-156.30020167339865,-7919.272754621061,222.41568776643228
11.0,2025-10-25T21:12:10.179578Z,-2018532.7518228446,3168195.7433265597,-5552853.572784334,-153.63087531744713,-7923.439663733167,229.78578547374116
12.0,2025-10-25T21:12:11.179579Z,-2018219.6270282336,3160558.2432388193,-5552609.314047692,-150.96215752156934,-7927.6070042344945,237.15588318105003
13.0,2025-10-25T21:12:12.179580Z,-2017907.6268383139,3152920.714372494,-5552365.055311049,-148.2940483344843,-7931.774776058445,244.52598088835887
14.0,2025-10-25T21:12:13.179581Z,-2017596.7512556142,3145283.1568509866,-5552120.796574407,-145.62654780490473,-7935.942979138417,251.89607859566777
15.0,2025-10-25T21:12:14.179582Z,-2017287.000282651,3137645.5707977014,-5551876.537837765,-142.95965598153666,-7940.111613407805,259.2661763029766
16.0,2025-10-25T21:12:15.179583Z,-2016978.3739219299,3130007.95633604,-5551632.279101122,-140.2933729130797,-7944.2806787999925,266.63627401028543
17.0,2025-10-25T21:12:16.179584Z,-2016670.8721759433,3122370.3135894057,-5551388.02036448,-137.62769864822695,-7948.450175248366,274.00637171759433
18.0,2025-10-25T21:12:17.179585Z,-2016364.4950471732,3114732.6426812024,-5551143.761627838,-134.96263323566518,-7952.620102686305,281.3764694249032
19.0,2025-10-25T21:12:18.179586Z,-2016059.2425380878,3107094.9437348326,-5550899.502891195,-132.29817672407447,-7956.790461047178,288.746567132212
20.0,2025-10-25T21:12:19.179587Z,-2015755.1146511442,3099457.216873702,-5550655.244154553,-129.63432916212858,-7960.96125026436,296.1166648395209
21.0,2025-10-25T21:12:20.179587Z,-2015452.1113887876,3091819.462221214,-5550410.985417911,-126.97109059849477,-7965.132470271212,303.48676254682977
22.0,2025-10-25T21:12:21.179588Z,-2015066.3549099981,3084056.1480869623,-5549935.72119271,-124.15530227250423,-7969.193911456615,311.2520511029113
23.0,2025-10-25T21:12:22.179589Z,-2014681.7413689457,3076292.79417589,-5549460.456967508,-121.34010696973978,-7973.255805636023,319.01733965899285
24.0,2025-10-25T21:12:23.179590Z,-2014298.2707693777,3068529.400613405,-5548985.192742308,-118.52550474129258,-7977.318152744543,326.7826282150744
25.0,2025-10-25T21:12:24.179591Z,-2013915.9431150288,3060765.9675249145,-5548509.928517106,-115.71149563824741,-7981.380952717279,334.547916771156
26.0,2025-10-25T21:12:25.179592Z,-2013534.7584096207,3053002.495035827,-5548034.664291906,-112.8980797116829,-7985.444205489329,342.31320532723754
27.0,2025-10-25T21:12:26.179593Z,-2013154.7166568642,3045238.9832715504,-5547559.400066705,-110.08525701267125,-7989.507910995783,350.078493883319
28.0,2025-10-25T21:12:27.179594Z,-2012775.817860457,3037475.432357494,-5547084.135841504,-107.2730275922785,-7993.57206917173,357.84378243940057
29.0,2025-10-25T21:12:28.179595Z,-2012398.0620240853,3029711.8424190665,-5546608.871616303,-104.46139150156417,-7997.636679952253,365.6090709954821
30.0,2025-10-25T21:12:29.179596Z,-2012021.4491514224,3021948.2135816775,-5546133.607391101,-101.65034879158155,-8001.701743272427,373.37435955156366
31.0,2025-10-25T21:12:30.179597Z,-2011645.9792461295,3014184.5459707356,-5545658.343165901,-98.83989951337766,-8005.767259067325,381.1396481076452
32.0,2025-10-25T21:12:31.179598Z,-2011271.6523118552,3006420.8397116517,-5545183.078940701,-96.03004371799315,-8009.833227272015,388.9049366637268
