t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,-1.0561529540492044e-09,-10242205.5,1.178664364751927e-09,2255.5941368254544,-1.2498317764623194e-12,-4145.175893547998
1.0,2025-10-25T21:12:00.179567Z,761.8471871767325,-10242203.682929639,-4145.175637246552,2255.5939975337433,3.7452503413105087,-4145.1751246471595
2.0,2025-10-25T21:12:01.179569Z,1523.6932181611521,-10242192.532144142,-8290.343585473738,2255.5923244639675,7.490504307272174,-4145.170511229643
3.0,2025-10-25T21:12:02.179570Z,2285.5408714304854,-10242181.546930967,-12435.511533700928,2255.5912096048323,11.235758516363571,-4145.165897812128
4.0,2025-10-25T21:12:03.179571Z,3047.39012688839,-10242170.727290293,-16580.679481928117,2255.5906529563636,14.981012907089335,-4145.16128439461
5.0,2025-10-25T21:12:04.179572Z,3809.240964438505,-10242160.073222289,-20725.847430155303,2255.5906545185785,18.7262674179541,-4145.156670977094
6.0,2025-10-25T21:12:05.179573Z,4571.059613113402,-10242111.587226577,-24870.876972015096,2255.582845996047,22.47158540942552,-4145.136678549354
7.0,2025-10-25T21:12:06.179574Z,5332.885345331476,-10242063.266799161,-29015.90651387489,2255.5755956935154,26.216904618496475,-4145.116686121612
8.0,2025-10-25T21:12:07.179575Z,6094.718140996808,-10242015.111940818,-33160.93605573468,2255.568903611116,29.96222498367057,-4145.096693693871
9.0,2025-10-25T21:12:08.179576Z,6856.557980013405,-10241967.122652318,-37305.96559759447,2255.562769748979,33.70754644345141,-4145.07670126613
10.0,2025-10-25T21:12:09.179577Z,7618.404842285204,-10241919.29893443,-41450.995139454266,2255.5571941072258,37.452868936342554,-4145.056708838389
11.0,2025-10-25T21:12:10.179578Z,8380.258707716064,-10241871.64078793,-45596.024681314055,2255.552176685975,41.19819240084761,-4145.036716410647
12.0,2025-10-25T21:12:11.179579Z,9142.11955620977,-10241824.148213571,-49741.05422317385,2255.547717485334,44.94351677547011,-4145.016723982906
13.0,2025-10-25T21:12:12.179580Z,9903.987367670028,-10241776.821212128,-53886.08376503364,2255.5438165054097,48.688841998713606,-4144.996731555166
14.0,2025-10-25T21:12:13.179581Z,10665.862122000477,-10241729.659784364,-58031.11330689343,2255.5404737463004,52.43416800908165,-4144.976739127424
