t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,3251986.0616084854,2021911.5496696704,-5555156.326851922,-7877.4622431135,182.77361957874754,149.36653596191547
1.0,2025-10-25T21:12:00.179567Z,3244401.3572971113,2021619.291868259,-5555003.353712583,-7881.663901030049,180.15839101601543,156.5817773500189
2.0,2025-10-25T21:12:01.179569Z,3236806.0901888264,2021321.5704929857,-5554832.296585484,-7885.858458976301,177.53186417256546,163.82763281998618
3.0,2025-10-25T21:12:02.179570Z,3229210.796953427,2021024.9675793494,-5554661.239458386,-7890.053441869656,174.90595004818297,171.07348828995345
4.0,2025-10-25T21:12:03.179571Z,3221615.4777136454,2020729.4831295735,-5554490.182331287,-7894.248849643054,172.280648690875,178.3193437599207
5.0,2025-10-25T21:12:04.179572Z,3214020.132592211,2020435.1171458706,-5554319.125204189,-7898.444682229431,169.6559601486422,185.56519922988798
6.0,2025-10-25T21:12:05.179573Z,3206382.8077674196,2020115.2447768992,-5554074.866467547,-7902.609433396636,166.98359172333426,192.93529693719685
7.0,2025-10-25T21:12:06.179574Z,3198745.4534236332,2019796.4969971918,-5553830.607730905,-7906.7746162859785,164.31183161440774,200.3053946445057
8.0,2025-10-25T21:12:07.179575Z,3191108.0696842517,2019478.8738093497,-5553586.348994262,-7910.940230830882,161.64067987061398,207.67549235181457
9.0,2025-10-25T21:12:08.179576Z,3183470.6566726775,2019162.3752159611,-5553342.090257619,-7915.106276964771,158.97013654069792,215.04559005912344
10.0,2025-10-25T21:12:09.179577Z,3175833.2145123137,2018847.0012196046,-5553097.8315209765,-7919.272754621061,156.30020167339816,222.41568776643228
11.0,2025-10-25T21:12:10.179578Z,3168195.7433265597,2018532.7518228448,-5552853.572784334,-7923.439663733167,153.63087531744662,229.78578547374116
12.0,2025-10-25T21:12:11.179579Z,3160558.2432388193,2018219.6270282338,-5552609.314047692,-7927.6070042344945,150.96215752156883,237.15588318105003
13.0,2025-10-25T21:12:12.179580Z,3152920.714372494,2017907.626838314,-5552365.055311049,-7931.774776058445,148.29404833448382,244.52598088835887
14.0,2025-10-25T21:12:13.179581Z,3145283.1568509866,2017596.7512556145,-5552120.796574407,-7935.942979138417,145.62654780490425,251.89607859566777
15.0,2025-10-25T21:12:14.179582Z,3137645.5707977014,2017287.0002826513,-5551876.537837765,-7940.111613407805,142.95965598153614,259.2661763029766
16.0,2025-10-25T21:12:15.179583Z,3130007.95633604,2016978.37392193,-5551632.279101122,-7944.2806787999925,140.2933729130792,266.63627401028543
17.0,2025-10-25T21:12:16.179584Z,3122370.3135894057,2016670.8721759438,-5551388.02036448,-7948.450175248366,137.62769864822647,274.00637171759433
18.0,2025-10-25T21:12:17.179585Z,3114732.6426812024,2016364.4950471735,-5551143.761627838,-7952.620102686305,134.96263323566467,281.3764694249032
19.0,2025-10-25T21:12:18.179586Z,3107094.9437348326,2016059.242538088,-5550899.502891195,-7956.790461047178,132.29817672407395,288.746567132212
20.0,2025-10-25T21:12:19.179587Z,3099457.216873702,2015755.1146511445,-5550655.244154553,-7960.96125026436,129.63432916212807,296.1166648395209
21.0,2025-10-25T21:12:20.179587Z,3091819.462221214,2015452.1113887879,-5550410.985417911,-7965.132470271212,126.97109059849426,303.48676254682977
22.0,2025-10-25T21:12:21.179588Z,3084056.1480869623,2015066.3549099981,-5549935.721192709,-7969.193911456615,124.15530227250343,311.25205110291216
23.0,2025-10-25T21:12:22.179589Z,3076292.7941758893,2014681.7413689457,-5549460.4569675075,-7973.255805636022,121.3401069697386,319.01733965899456
24.0,2025-10-25T21:12:23.179590Z,3068529.400613404,2014298.2707693775,-5548985.192742306,-7977.318152744542,118.52550474129107,326.7826282150769
25.0,2025-10-25T21:12:24.179591Z,3060765.9675249136,2013915.9431150283,-5548509.928517104,-7981.380952717277,115.71149563824564,334.5479167711593
26.0,2025-10-25T21:12:25.179592Z,3053002.4950358258,2013534.75840962,-5548034.664291903,-7985.444205489328,112.89807971168078,342.3132053272417
27.0,2025-10-25T21:12:26.179593Z,3045238.983271549,2013154.7166568632,-5547559.400066702,-7989.507910995782,110.08525701266883,350.0784938833241
28.0,2025-10-25T21:12:27.179594Z,3037475.432357492,2012775.8178604562,-5547084.1358415,-7993.572069171728,107.27302759227571,357.8437824394064
29.0,2025-10-25T21:12:28.179595Z,3029711.8424190646,2012398.0620240842,-5546608.871616298,-7997.636679952251,104.46139150156105,365.60907099548876
30.0,2025-10-25T21:12:29.179596Z,3021948.213581675,2012021.449151421,-5546133.607391097,-8001.701743272425,101.65034879157814,373.37435955157116
31.0,2025-10-25T21:12:30.179597Z,3014184.5459707333,2011645.979246128,-5545658.343165897,-8005.767259067323,98.83989951337392,381.13964810765356
32.0,2025-10-25T21:12:31.179598Z,3006420.839711649,2011271.6523118536,-5545183.078940695,-8009.833227272014,96.03004371798907,388.90493666373595
33.0,2025-10-25T21:12:32.179599Z,2998657.0949298334,2010898.4683522354,-5544707.8147154935,-8013.899647821557,93.22078145645801,396.6702252198183
34.0,2025-10-25T21:12:33.179599Z,2990893.3117506974,2010526.4273708982,-5544232.550490292,-8017.966520651012,90.41211277980888,404.4355137759007
35.0,2025-10-25T21:12:34.179600Z,2983129.490299651,2010155.5293714544,-5543757.28626509,-8022.033845695429,87.60403773906317,412.2008023319831
36.0,2025-10-25T21:12:35.179601Z,2975365.6307021054,2009785.7743575035,-5543282.022039889,-8026.101622889854,84.79655638523644,419.9660908880655
37.0,2025-10-25T21:12:36.179602Z,2967601.733083473,2009417.1623326347,-5542806.757814688,-8030.169852169335,81.98966876933783,427.7313794441479
38.0,2025-10-25T21:12:37.179603Z,2959837.797569165,2009049.693300423,-5542331.493589486,-8034.238533468903,79.18337494237002,435.4966680002302
39.0,2025-10-25T21:12:38.179604Z,2952073.824284594,2008683.3672644326,-5541856.229364284,-8038.30766672359,76.37767495532954,443.2619565563126
40.0,2025-10-25T21:12:39.179605Z,2944309.813355173,2008318.1842282147,-5541380.965139083,-8042.377251868426,73.57256885920651,451.027245112395
41.0,2025-10-25T21:12:40.179606Z,2936545.7649063147,2007954.1441953084,-5540905.700913882,-8046.447288838431,70.76805670498473,458.79253366847735
42.0,2025-10-25T21:12:41.179607Z,2928781.6790634315,2007591.2471692406,-5540430.43668868,-8050.517777568624,67.96413854364178,466.55782222455974
43.0,2025-10-25T21:12:42.179608Z,2921017.5559519385,2007229.4931535267,-5539955.1724634785,-8054.588717994014,65.16081442614885,474.3231107806421
44.0,2025-10-25T21:12:43.179609Z,2913253.3956972477,2006868.8821516682,-5539479.908238277,-8058.660110049608,62.35808440347079,482.0883993367245
45.0,2025-10-25T21:12:44.179610Z,2905489.1984247747,2006509.4141671564,-5539004.644013075,-8062.731953670408,59.55594852656606,489.8536878928069
46.0,2025-10-25T21:12:45.179611Z,2897724.964259933,2006151.089203469,-5538529.379787874,-8066.804248791414,56.75440684638702,497.61897644888927
47.0,2025-10-25T21:12:46.179612Z,2889960.6933281384,2005793.9072640722,-5538054.115562673,-8070.876995347612,53.95345941387952,505.38426500497155
48.0,2025-10-25T21:12:47.179612Z,2882196.3857548055,2005437.86835242,-5537578.851337471,-8074.950193273993,51.153106279983206,513.149553561054
49.0,2025-10-25T21:12:48.179613Z,2874432.0416653496,2005082.972471953,-5537103.58711227,-8079.023842505537,48.353347495631304,520.9148421171363
50.0,2025-10-25T21:12:49.179614Z,2866667.6611851864,2004729.219626101,-5536628.322887069,-8083.097942977222,45.554183111750746,528.6801306732187
51.0,2025-10-25T21:12:50.179615Z,2858903.2444397314,2004376.6098182811,-5536153.058661867,-8087.172494624017,42.75561317926213,536.4454192293011
52.0,2025-10-25T21:12:51.179616Z,2851138.791554402,2004025.1430518983,-5535677.794436666,-8091.247497380889,39.9576377490799,544.2107077853835
53.0,2025-10-25T21:12:52.179617Z,2843374.3026546147,2003674.819330345,-5535202.5302114645,-8095.322951182801,37.16025687211186,551.9759963414659
54.0,2025-10-25T21:12:53.179618Z,2835609.777865785,2003325.6386570015,-5534727.265986263,-8099.39885596471,34.363470599259706,559.7412848975482
55.0,2025-10-25T21:12:54.179619Z,2827845.2173133316,2002977.6010352361,-5534252.001761061,-8103.475211661566,31.567278981418838,567.5065734536306
56.0,2025-10-25T21:12:55.179620Z,2820080.6211226718,2002630.7064684057,-5533776.737535859,-8107.552018208315,28.771682069478192,575.271862009713
57.0,2025-10-25T21:12:56.179621Z,2812315.9894192233,2002284.9549598529,-5533301.473310659,-8111.629275539899,25.97667991432048,583.0371505657954
58.0,2025-10-25T21:12:57.179622Z,2804551.3223284027,2001940.3465129095,-5532826.209085457,-8115.706983591256,23.182272566821926,590.8024391218778
59.0,2025-10-25T21:12:58.179623Z,2796786.619975631,2001596.881130896,-5532350.944860255,-8119.7851422973135,20.388460077852695,598.5677276779602
60.0,2025-10-25T21:12:59.179623Z,2789021.8824863257,2001254.5588171182,-5531875.680635054,-8123.863751593001,17.595242498276516,606.3330162340426
61.0,2025-10-25T21:13:00.179624Z,2781257.1099859057,2000913.3795748714,-5531400.416409852,-8127.9428114132415,14.802619878950596,614.098304790125
62.0,2025-10-25T21:13:01.179625Z,2773492.3025997905,2000573.3434074386,-5530925.152184651,-8132.022321692945,12.010592270726123,621.8635933462074
63.0,2025-10-25T21:13:02.179626Z,2765727.4604533995,2000234.4503180902,-5530449.88795945,-8136.102282367028,9.219159724447785,629.6288819022897
64.0,2025-10-25T21:13:03.179627Z,2757962.583672152,1999896.7003100847,-5529974.623734248,-8140.182693370395,6.428322290953803,637.3941704583721
65.0,2025-10-25T21:13:04.179628Z,2750197.6723814695,1999560.0933866678,-5529499.359509046,-8144.263554637949,3.6380800210764344,645.1594590144545
66.0,2025-10-25T21:13:05.179629Z,2742400.671346883,1999201.2738988453,-5528959.503031924,-8148.308911398054,0.8052190496892209,653.0366003525543
67.0,2025-10-25T21:13:06.179630Z,2734459.9185139434,1998738.9075770986,-5528130.074813641,-8152.193551170147,-2.2207947668375083,661.4151858094009
68.0,2025-10-25T21:13:07.179631Z,2726519.1128741316,1998277.70998529,-5527300.646595358,-8156.078675571049,-5.246242014963709,669.7937712662475
69.0,2025-10-25T21:13:08.179632Z,2718578.254555672,1997817.6811286584,-5526471.218377074,-8159.9642845387825,-8.271122640102213,678.172356723094
70.0,2025-10-25T21:13:09.179633Z,2710637.34368679,1997358.8210124313,-5525641.7901587915,-8163.85037801137,-11.295436587672041,686.5509421799406
71.0,2025-10-25T21:13:10.179634Z,2702696.380395714,1996901.1296418235,-5524812.361940508,-8167.736955926825,-14.319183803098184,694.9295276367872
72.0,2025-10-25T21:13:11.179635Z,2694755.36481067,1996444.6070220377,-5523982.933722224,-8171.624018223158,-17.34236423181154,703.3081130936339
73.0,2025-10-25T21:13:12.179636Z,2686814.297059884,1995989.2531582625,-5523153.505503941,-8175.51156483837,-20.364977819249287,711.6866985504804
74.0,2025-10-25T21:13:13.179637Z,2678873.1772715854,1995535.0680556765,-5522324.077285659,-8179.399595710463,-23.387024510854477,720.0652840073269
75.0,2025-10-25T21:13:14.179637Z,2670932.0055740024,1995082.0517194439,-5521494.649067376,-8183.288110777427,-26.40850425207614,728.4438694641735
76.0,2025-10-25T21:13:15.179638Z,2662990.782095363,1994630.2041547166,-5520665.220849092,-8187.177109977252,-29.429416988369457,736.82245492102
77.0,2025-10-25T21:13:16.179640Z,2655049.5069638984,1994179.5253666353,-5519835.792630809,-8191.066593247921,-32.44976266519553,745.2010403778668
78.0,2025-10-25T21:13:17.179641Z,2647108.1803078367,1993730.0153603267,-5519006.364412526,-8194.956560527413,-35.46954122802143,753.5796258347133
79.0,2025-10-25T21:13:18.179641Z,2639166.8022554084,1993281.6741409055,-5518176.936194243,-8198.847011753694,-38.48875262232065,761.9582112915598
80.0,2025-10-25T21:13:19.179642Z,2631225.3729348443,1992834.5017134745,-5517347.507975959,-8202.737946864732,-41.50739679357224,770.3367967484064
81.0,2025-10-25T21:13:20.179643Z,2623283.8924743766,1992388.498083124,-5516518.0797576755,-8206.629365798492,-44.52547368726151,778.7153822052529
82.0,2025-10-25T21:13:21.179644Z,2615342.361002235,1991943.6632549302,-5515688.651539393,-8210.521268492921,-47.542983248879786,787.0939676620995
83.0,2025-10-25T21:13:22.179645Z,2607400.778646652,1991499.997233959,-5514859.223321109,-8214.413654885977,-50.55992542392451,795.4725531189462
84.0,2025-10-25T21:13:23.179646Z,2599459.145535862,1991057.5000252624,-5514029.795102826,-8218.306524915606,-53.57630015789883,803.8511385757927
85.0,2025-10-25T21:13:24.179647Z,2591517.4617980975,1990616.1716338806,-5513200.366884544,-8222.199878519741,-56.592107396312265,812.2297240326393
86.0,2025-10-25T21:13:25.179648Z,2583575.7275615907,1990176.0120648404,-5512370.938666261,-8226.093715636322,-59.607347084680214,820.6083094894858
87.0,2025-10-25T21:13:26.179649Z,2575633.942954576,1989737.0213231572,-5511541.510447977,-8229.98803620327,-62.622019168524275,828.9868949463324
88.0,2025-10-25T21:13:27.179650Z,2567692.108105289,1989299.1994138341,-5510712.082229693,-8233.882840158516,-65.63612359337186,837.365480403179
89.0,2025-10-25T21:13:28.179651Z,2559750.2231419636,1988862.5463418597,-5509882.654011411,-8237.778127439975,-68.64966030475655,845.7440658600256
90.0,2025-10-25T21:13:29.179651Z,2551808.2881928347,1988427.0621122124,-5509053.225793127,-8241.673897985558,-71.66262924821793,854.1226513168722
91.0,2025-10-25T21:13:30.179652Z,2543866.303386139,1987992.7467298575,-5508223.797574844,-8245.570151733176,-74.67503036930151,862.5012367737187
92.0,2025-10-25T21:13:31.179653Z,2535924.2688501133,1987559.6001997467,-5507394.3693565605,-8249.466888620727,-77.68686361355908,870.8798222305653
93.0,2025-10-25T21:13:32.179654Z,2527982.1847129934,1987127.6225268207,-5506564.941138278,-8253.36410858611,-80.69812892654826,879.2584076874119
94.0,2025-10-25T21:13:33.179655Z,2520040.0511030164,1986696.8137160065,-5505735.512919994,-8257.261811567214,-83.7088262538328,887.6369931442584
95.0,2025-10-25T21:13:34.179656Z,2512097.868148421,1986267.1737722193,-5504906.08470171,-8261.159997501925,-86.71895554098238,896.0155786011051
96.0,2025-10-25T21:13:35.179657Z,2504155.6359774442,1985838.7027003618,-5504076.656483429,-8265.058666328125,-89.72851673357296,904.3941640579516
97.0,2025-10-25T21:13:36.179658Z,2496213.3547183243,1985411.4005053246,-5503247.228265145,-8268.957817983686,-92.73750977718639,912.7727495147982
98.0,2025-10-25T21:13:37.179659Z,2488271.0244993023,1984985.2671919845,-5502417.800046862,-8272.857452406484,-95.74593461741033,921.1513349716447
99.0,2025-10-25T21:13:38.179660Z,2480328.6454486162,1984560.3027652067,-5501588.371828578,-8276.757569534375,-98.75379119983887,929.5299204284913
100.0,2025-10-25T21:13:39.179661Z,2472386.217694506,1984136.5072298439,-5500758.943610296,-8280.658169305223,-101.76107947007196,937.908505885338
101.0,2025-10-25T21:13:40.179662Z,2464443.741365211,1983713.8805907364,-5499929.515392012,-8284.55925165688,-104.76779937371555,946.2870913421845
102.0,2025-10-25T21:13:41.179663Z,2456501.2165889745,1983292.422852712,-5499100.087173729,-8288.460816527193,-107.77395085638192,954.6656767990311
103.0,2025-10-25T21:13:42.179664Z,2448558.6434940356,1982872.1340205856,-5498270.6589554455,-8292.362863854009,-110.7795338636888,963.0442622558776
