t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
16.0,2025-10-25T21:12:15.179583Z,-3817641.127564787,-951999.7746451102,5556438.051769134,-5364.036099894301,-5680.727488957134,35.8901433382346
17.0,2025-10-25T21:12:16.179584Z,-3823158.8377738753,-957126.9949866956,5556494.847502581,-5359.231052500231,-5679.546363611521,28.837178522773364
18.0,2025-10-25T21:12:17.179585Z,-3828677.316019981,-962253.4156461449,5556551.643236029,-5354.425861399094,-5678.365969256601,21.78421370731213
19.0,2025-10-25T21:12:18.179586Z,-3834196.5622158134,-967379.0365387116,5556608.438969478,-5349.620526671949,-5677.186305907048,14.731248891850898
20.0,2025-10-25T21:12:19.179587Z,-3839716.576274077,-972503.8575796585,5556665.234702926,-5344.815048399856,-5676.007373577533,7.678284076389664
21.0,2025-10-25T21:12:20.179587Z,-3845237.358107464,-977627.8786842562,5556722.030436373,-5340.009426663878,-5674.829172282713,0.6253192609284308
22.0,2025-10-25T21:12:21.179588Z,-3850605.955054209,-982710.6058171113,5556560.949259702,-5335.2500913699605,-5673.496665642472,-6.0633378331370675
23.0,2025-10-25T21:12:22.179589Z,-3855975.313696523,-987792.5551513574,5556399.868083031,-5330.490590163171,-5672.164883295616,-12.751994927202565
24.0,2025-10-25T21:12:23.179590Z,-3861345.4339495166,-992873.7266029364,5556238.78690636,-5325.730923123832,-5670.83382525925,-19.440652021268065
25.0,2025-10-25T21:12:24.179591Z,-3866716.3157282914,-997954.1200877987,5556077.7057296885,-5320.971090332273,-5669.503491550483,-26.129309115333562
26.0,2025-10-25T21:12:25.179592Z,-3872087.9589479384,-1003033.7355219023,5555916.624553016,-5316.211091868821,-5668.173882186402,-32.81796620939906
27.0,2025-10-25T21:12:26.179593Z,-3877460.3635235443,-1008112.5728212146,5555755.543376345,-5311.450927813807,-5666.844997184097,-39.50662330346456
28.0,2025-10-25T21:12:27.179594Z,-3882833.529370186,-1013190.6319017101,5555594.462199674,-5306.690598247561,-5665.516836560645,-46.195280397530055
29.0,2025-10-25T21:12:28.179595Z,-3888207.45640293,-1018267.9126793721,5555433.381023003,-5301.930103250419,-5664.189400333115,-52.88393749159555
30.0,2025-10-25T21:12:29.179596Z,-3893582.1445368384,-1023344.415070192,5555272.299846332,-5297.169442902715,-5662.862688518571,-59.57259458566105
31.0,2025-10-25T21:12:30.179597Z,-3898957.593686962,-1028420.1389901695,5555111.218669659,-5292.408617284783,-5661.536701134067,-66.26125167972654
32.0,2025-10-25T21:12:31.179598Z,-3904333.8037683447,-1033495.0843553131,5554950.137492987,-5287.6476264769635,-5660.211438196649,-72.94990877379205
33.0,2025-10-25T21:12:32.179599Z,-3909710.7746960227,-1038569.2510816384,5554789.056316316,-5282.886470559596,-5658.886899723355,-79.63856586785755
34.0,2025-10-25T21:12:33.179599Z,-3915088.5063850232,-1043642.63908517,5554627.975139645,-5278.125149613022,-5657.563085731218,-86.32722296192306
35.0,2025-10-25T21:12:34.179600Z,-3920466.998750366,-1048715.2482819406,5554466.893962974,-5273.363663717586,-5656.239996237261,-93.01588005598855
36.0,2025-10-25T21:12:35.179601Z,-3925846.2517070607,-1053787.0785879917,5554305.8127863025,-5268.6020129536255,-5654.917631258497,-99.70453715005405
37.0,2025-10-25T21:12:36.179602Z,-3931226.265170111,-1058858.1299193716,5554144.731609631,-5263.840197401496,-5653.595990811936,-106.39319424411954
38.0,2025-10-25T21:12:37.179603Z,-3936607.0390545116,-1063928.4021921386,5553983.650432959,-5259.07821714154,-5652.2750749145725,-113.08185133818503
39.0,2025-10-25T21:12:38.179604Z,-3941988.5732752485,-1068997.8953223575,5553822.569256288,-5254.316072254108,-5650.954883583405,-119.77050843225054
40.0,2025-10-25T21:12:39.179605Z,-3947370.8677472994,-1074066.6092261036,5553661.488079617,-5249.553762819551,-5649.635416835412,-126.45916552631603
41.0,2025-10-25T21:12:40.179606Z,-3952753.9223856363,-1079134.5438194578,5553500.406902946,-5244.791288918222,-5648.31667468757,-133.14782262038153
42.0,2025-10-25T21:12:41.179607Z,-3958137.737105219,-1084201.6990185117,5553339.325726274,-5240.028650630474,-5646.998657156849,-139.83647971444705
43.0,2025-10-25T21:12:42.179608Z,-3963522.3118210016,-1089268.0747393635,5553178.244549603,-5235.2658480366645,-5645.681364260207,-146.52513680851254
44.0,2025-10-25T21:12:43.179609Z,-3968907.64644793,-1094333.6708981204,5553017.163372931,-5230.502881217147,-5644.364796014599,-153.21379390257803
45.0,2025-10-25T21:12:44.179610Z,-3974293.7409009417,-1099398.4874108974,5552856.08219626,-5225.739750252286,-5643.048952436966,-159.90245099664352
46.0,2025-10-25T21:12:45.179611Z,-3979680.595094964,-1104462.5241938184,5552695.001019589,-5220.976455222438,-5641.7338335442455,-166.591108090709
47.0,2025-10-25T21:12:46.179612Z,-3985068.20894492,-1109525.781163015,5552533.9198429175,-5216.212996207967,-5640.419439353367,-173.27976518477453
48.0,2025-10-25T21:12:47.179612Z,-3990456.582365721,-1114588.2582346275,5552372.838666246,-5211.449373289237,-5639.105769881253,-179.96842227884002
49.0,2025-10-25T21:12:48.179613Z,-3995845.7152722715,-1119649.9553248042,5552211.757489574,-5206.6855865466105,-5637.792825144811,-186.6570793729055
50.0,2025-10-25T21:12:49.179614Z,-4001235.6075794687,-1124710.8723497011,5552050.676312902,-5201.921636060459,-5636.480605160951,-193.345736466971
51.0,2025-10-25T21:12:50.179615Z,-4006626.2592022,-1129771.0092254835,5551889.595136231,-5197.157521911147,-5635.169109946569,-200.03439356103652
52.0,2025-10-25T21:12:51.179616Z,-4012017.6700553447,-1134830.365868325,5551728.51395956,-5192.3932441790475,-5633.858339518552,-206.723050655102
53.0,2025-10-25T21:12:52.179617Z,-4017409.8400537753,-1139888.9421944066,5551567.432782888,-5187.6288029445295,-5632.548293893783,-213.4117077491675
54.0,2025-10-25T21:12:53.179618Z,-4022802.769112356,-1144946.7381199172,5551406.351606217,-5182.864198287969,-5631.238973089136,-220.100364843233
55.0,2025-10-25T21:12:54.179619Z,-4028196.45714594,-1150003.753561056,5551245.270429546,-5178.099430289739,-5629.930377121477,-226.7890219372985
56.0,2025-10-25T21:12:55.179620Z,-4033590.9040693766,-1155059.9884340283,5551084.189252874,-5173.334499030217,-5628.622506007663,-233.477679031364
57.0,2025-10-25T21:12:56.179621Z,-4038986.109797504,-1160115.4426550495,5550923.108076203,-5168.56940458978,-5627.315359764545,-240.1663361254295
58.0,2025-10-25T21:12:57.179622Z,-4044382.074245153,-1165170.116140341,5550762.0268995315,-5163.80414704881,-5626.008938408963,-246.854993219495
59.0,2025-10-25T21:12:58.179623Z,-4049778.797327146,-1170224.0088061346,5550600.94572286,-5159.038726487686,-5624.703241957753,-253.54365031356053
60.0,2025-10-25T21:12:59.179623Z,-4055176.2789582973,-1175277.1205686696,5550439.864546189,-5154.273142986792,-5623.39827042774,-260.23230740762597
61.0,2025-10-25T21:13:00.179624Z,-4060574.5190534135,-1180329.4513441937,5550278.783369518,-5149.507396626511,-5622.094023835743,-266.9209645016915
62.0,2025-10-25T21:13:01.179625Z,-4065973.517527292,-1185381.001048962,5550117.702192846,-5144.741487487232,-5620.7905021985725,-273.60962159575695
63.0,2025-10-25T21:13:02.179626Z,-4071373.2742947238,-1190431.7695992393,5549956.621016175,-5139.975415649338,-5619.487705533033,-280.2982786898225
64.0,2025-10-25T21:13:03.179627Z,-4076773.7892704904,-1195481.7569112973,5549795.539839503,-5135.209181193223,-5618.185633855916,-286.986935783888
