t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,5108719.089251311,6990803.529564388,-3656438.206256486,-3967.8254843676677,-1334.7253991111434,-3401.3624402527676
1.0,2025-10-25T21:12:00.179567Z,5105769.454339436,6988722.2921845205,-3659838.6905849054,-3970.2508649557835,-1338.04476948773,-3399.6057736577136
2.0,2025-10-25T21:12:01.179569Z,5102813.411681625,6986633.127224052,-3663234.7732683658,-3972.6755607030054,-1341.3670878027363,-3397.842451810888
3.0,2025-10-25T21:12:02.179570Z,5099857.091503488,6984544.430551328,-3666630.855951826,-3975.1007620842483,-1344.6890595903353,-3396.079129964062
4.0,2025-10-25T21:12:03.179571Z,5096900.4938576035,6982456.202195705,-3670026.9386352864,-3977.526469061865,-1348.0106847944521,-3394.315808117236
5.0,2025-10-25T21:12:04.179572Z,5093943.6187965525,6980368.442186547,-3673423.0213187467,-3979.952681598203,-1351.331963359015,-3392.5524862704106
6.0,2025-10-25T21:12:05.179573Z,5090961.947281881,6978247.4978097025,-3676801.31006339,-3982.3746088370185,-1354.6661549344542,-3390.7623299299808
7.0,2025-10-25T21:12:06.179574Z,5087979.993549349,6976127.025414122,-3680179.598808034,-3984.797043493087,-1358.0000004568408,-3388.9721735895505
8.0,2025-10-25T21:12:07.179575Z,5084997.757651937,6974007.025029686,-3683557.8875526777,-3987.2199855288172,-1361.3334998699006,-3387.182017249121
9.0,2025-10-25T21:12:08.179576Z,5082015.2396426285,6971887.4966862695,-3686936.1762973214,-3989.6434349066103,-1364.6666531173662,-3385.3918609086913
10.0,2025-10-25T21:12:09.179577Z,5079032.439574409,6969768.440413742,-3690314.465041965,-3992.067391588864,-1367.9994601429717,-3383.601704568261
11.0,2025-10-25T21:12:10.179578Z,5076049.35750027,6967649.856241969,-3693692.7537866086,-3994.4918555379713,-1371.3319208904556,-3381.8115482278313
12.0,2025-10-25T21:12:11.179579Z,5073065.993473199,6965531.744200805,-3697071.0425312524,-3996.9168267163145,-1374.6640353035602,-3380.0213918874015
13.0,2025-10-25T21:12:12.179580Z,5070082.347546195,6963414.104320108,-3700449.3312758957,-3999.342305086278,-1377.9958033260316,-3378.2312355469717
14.0,2025-10-25T21:12:13.179581Z,5067098.419772255,6961296.936629727,-3703827.6200205395,-4001.768290610234,-1381.327224901618,-3376.441079206542
15.0,2025-10-25T21:12:14.179582Z,5064114.210204378,6959180.241159501,-3707205.9087651833,-4004.1947832505534,-1384.6582999740735,-3374.650922866112
16.0,2025-10-25T21:12:15.179583Z,5061129.718895566,6957064.017939271,-3710584.197509827,-4006.6217829695993,-1387.9890284871549,-3372.8607665256823
17.0,2025-10-25T21:12:16.179584Z,5058144.945898828,6954948.26699887,-3713962.4862544704,-4009.04928972973,-1391.3194103846217,-3371.070610185252
18.0,2025-10-25T21:12:17.179585Z,5055159.891267172,6952832.988368127,-3717340.774999114,-4011.4773034933,-1394.6494456102387,-3369.2804538448227
