t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-20T15:47:31.475959Z,19833851.139477015,-5698362.309448348,-21241300.041714557,-282.43371331176496,4709.294079646023,-1522.6464542524373
1.0,2025-10-20T15:47:32.476194Z,19832737.676422082,-5696545.520427015,-21242822.52517696,-282.63261806635813,4709.351218447746,-1522.3204666488848
2.0,2025-10-20T15:47:33.476196Z,19831623.822945196,-5694728.380851006,-21244344.19358237,-282.83150538031896,4709.408230689554,-1521.9944203905786
3.0,2025-10-20T15:47:34.476198Z,19830510.33994836,-5692911.109136734,-21245865.861987777,-283.0303858794962,4709.465296979308,-1521.6683741322727
4.0,2025-10-20T15:47:35.476199Z,19829397.22744492,-5691093.705328565,-21247387.530393187,-283.2292595570651,4709.522417316318,-1521.3423278739667
5.0,2025-10-20T15:47:36.476200Z,19828284.48544823,-5689276.169470872,-21248909.198798597,-283.4281264062009,4709.579591699892,-1521.0162816156605
6.0,2025-10-20T15:47:37.476201Z,19827169.07154306,-5687457.630292552,-21250427.605335336,-283.6269436230925,4709.636097634976,-1520.6900010871072
7.0,2025-10-20T15:47:38.476202Z,19826054.028298397,-5685638.958709741,-21251946.011872075,-283.8257541032721,4709.692657609002,-1520.3637205585537
8.0,2025-10-20T15:47:39.476203Z,19824939.355727613,-5683820.154766829,-21253464.41840881,-284.02455783991553,4709.749271621285,-1520.0374400300002
9.0,2025-10-20T15:47:40.476204Z,19823825.053844087,-5682001.218508202,-21254982.82494555,-284.22335482619917,4709.805939671144,-1519.711159501447
10.0,2025-10-20T15:47:41.476205Z,19822711.12266119,-5680182.149978254,-21256501.23148229,-284.42214505529864,4709.862661757896,-1519.3848789728934
11.0,2025-10-20T15:47:42.476206Z,19821597.56219228,-5678362.949221375,-21258019.638019025,-284.6209285203908,4709.919437880855,-1519.05859844434
12.0,2025-10-20T15:47:43.476207Z,19820484.37245072,-5676543.616281958,-21259538.044555765,-284.81970521465155,4709.976268039338,-1518.7323179157868
13.0,2025-10-20T15:47:44.476208Z,19819371.55344986,-5674724.151204399,-21261056.451092504,-285.01847513125745,4710.033152232658,-1518.4060373872335
14.0,2025-10-20T15:47:45.476209Z,19818259.105203062,-5672904.554033092,-21262574.857629243,-285.2172382633851,4710.090090460128,-1518.07975685868
15.0,2025-10-20T15:47:46.476210Z,19817147.027723663,-5671084.824812436,-21264093.264165983,-285.41599460421077,4710.147082721061,-1517.7534763301267
16.0,2025-10-20T15:47:47.476210Z,19816035.321025006,-5669264.963586828,-21265611.67070272,-285.61474414691105,4710.204129014769,-1517.4271958015734
17.0,2025-10-20T15:47:48.476211Z,19814923.98512043,-5667444.970400666,-21267130.077239458,-285.81348688466267,4710.261229340565,-1517.1009152730196
18.0,2025-10-20T15:47:49.476212Z,19813813.02002327,-5665624.845298352,-21268648.483776197,-286.01222281064236,4710.318383697758,-1516.7746347444663
19.0,2025-10-20T15:47:50.476213Z,19812702.425746843,-5663804.588324287,-21270166.890312932,-286.21095191802675,4710.375592085657,-1516.448354215913
20.0,2025-10-20T15:47:51.476214Z,19811592.202304486,-5661984.199522876,-21271685.29684967,-286.4096741999926,4710.432854503574,-1516.1220736873595
21.0,2025-10-20T15:47:52.476215Z,19810482.349709515,-5660163.678938521,-21273203.70338641,-286.60838964971714,4710.490170950817,-1515.7957931588062
