t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
63.0,2025-10-20T15:48:34.476255Z,-214339.86089440167,16552577.709603345,24538486.82923796,-4876.504564652677,-16.850709398590983,-26.802328688643726
64.0,2025-10-20T15:48:35.476256Z,-216802.3450341555,16552594.886250755,24538463.798125684,-4876.503184775149,-17.01709304792624,-27.17946719940597
65.0,2025-10-20T15:48:36.476257Z,-219264.82778906592,16552612.510050803,24538440.76701341,-4876.501855094201,-17.183476985333975,-27.556605710168213
66.0,2025-10-20T15:48:37.476258Z,-221727.30910701334,16552630.581003385,24538417.73590113,-4876.500575609871,-17.349861204378115,-27.933744220930457
67.0,2025-10-20T15:48:38.476259Z,-224189.78893587808,16552649.099108374,24538394.704788852,-4876.49934632219,-17.516245698622626,-28.3108827316927
68.0,2025-10-20T15:48:39.476260Z,-226652.26722354096,16552668.064365659,24538371.673676576,-4876.4981672311915,-17.682630461631465,-28.68802124245495
69.0,2025-10-20T15:48:40.476261Z,-229114.7439178821,16552687.476775106,24538348.6425643,-4876.497038336909,-17.849015486968554,-29.065159753217195
70.0,2025-10-20T15:48:41.476262Z,-231577.21896678235,16552707.336336581,24538325.61145203,-4876.495959639374,-18.015400768197882,-29.44229826397944
71.0,2025-10-20T15:48:42.476263Z,-234039.6923181221,16552727.643049952,24538302.58033975,-4876.494931138616,-18.181786298883345,-29.819436774741682
72.0,2025-10-20T15:48:43.476263Z,-236502.16391978177,16552748.396915067,24538279.549227472,-4876.493952834669,-18.348172072588905,-30.196575285503926
73.0,2025-10-20T15:48:44.476264Z,-238964.63371964206,16552769.59793178,24538256.518115196,-4876.493024727559,-18.514558082878494,-30.573713796266173
74.0,2025-10-20T15:48:45.476265Z,-241427.10166558344,16552791.246099947,24538233.48700292,-4876.492146817318,-18.680944323316034,-30.950852307028416
75.0,2025-10-20T15:48:46.476266Z,-243889.56770548652,16552813.341419395,24538210.45589064,-4876.491319103971,-18.84733078746546,-31.32799081779066
76.0,2025-10-20T15:48:47.476267Z,-246352.0317872319,16552835.883889966,24538187.424778365,-4876.490541587549,-19.013717468890697,-31.705129328552907
77.0,2025-10-20T15:48:48.476269Z,-248814.49385870012,16552858.873511493,24538164.39366609,-4876.489814268079,-19.18010436115567,-32.08226783931515
78.0,2025-10-20T15:48:49.476270Z,-251276.9538677719,16552882.310283793,24538141.362553813,-4876.489137145585,-19.346491457824303,-32.459406350077394
