t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-20T15:47:31.475959Z,-9983434.862736667,14676247.688095428,-23697302.040055558,-3303.0708678947267,-3529.6747482102237,-790.0264288077976
1.0,2025-10-20T15:47:32.476194Z,-9984597.616717467,14674174.031745367,-23698091.884517625,-3302.970629108571,-3529.8220862443522,-789.6624932831899
2.0,2025-10-20T15:47:33.476196Z,-9985760.342811069,14672100.059715439,-23698880.819094926,-3302.870302429867,-3529.969322338585,-789.2985271279487
3.0,2025-10-20T15:47:34.476198Z,-9986923.424458737,14670026.335304935,-23699669.753672227,-3302.77001478985,-3530.116591832441,-788.9345609727075
4.0,2025-10-20T15:47:35.476199Z,-9988086.861630544,14667952.858554676,-23700458.68824953,-3302.6697661928574,-3530.2638947210125,-788.5705948174661
5.0,2025-10-20T15:47:36.476200Z,-9989250.654296547,14665879.629505487,-23701247.622826833,-3302.569556643226,-3530.4112309993848,-788.2066286622251
6.0,2025-10-20T15:47:37.476201Z,-9990413.267123513,14663804.397500237,-23702032.917009268,-3302.4688785832595,-3530.55805908775,-787.8425403748535
7.0,2025-10-20T15:47:38.476202Z,-9991576.23571305,14661729.413053796,-23702818.211191706,-3302.368239500345,-3530.704920630119,-787.4784520874819
8.0,2025-10-20T15:47:39.476203Z,-9992739.560035236,14659654.676207006,-23703603.50537414,-3302.2676393988263,-3530.8518156215914,-787.1143638001104
9.0,2025-10-20T15:47:40.476204Z,-9993903.240060141,14657580.187000716,-23704388.799556576,-3302.167078283044,-3530.99874405726,-786.7502755127389
10.0,2025-10-20T15:47:41.476205Z,-9995067.275757836,14655505.945475772,-23705174.09373901,-3302.0665561573423,-3531.1457059322224,-786.3861872253674
11.0,2025-10-20T15:47:42.476206Z,-9996231.667098384,14653431.951673016,-23705959.387921445,-3301.9660730260644,-3531.2927012415726,-786.0220989379958
12.0,2025-10-20T15:47:43.476207Z,-9997396.414051846,14651358.205633277,-23706744.682103883,-3301.86562889355,-3531.439729980404,-785.6580106506242
13.0,2025-10-20T15:47:44.476208Z,-9998561.516588276,14649284.7073974,-23707529.97628632,-3301.765223764141,-3531.586792143811,-785.2939223632527
14.0,2025-10-20T15:47:45.476209Z,-9999726.974677727,14647211.457006207,-23708315.270468753,-3301.6648576421767,-3531.7338877268876,-784.9298340758811
15.0,2025-10-20T15:47:46.476210Z,-10000892.78829025,14645138.454500526,-23709100.56465119,-3301.564530531997,-3531.8810167247257,-784.5657457885096
16.0,2025-10-20T15:47:47.476210Z,-10002058.957395887,14643065.699921187,-23709885.858833626,-3301.464242437943,-3532.028179132419,-784.201657501138
