t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-20T15:47:31.475959Z,-9983434.86273667,-14676247.68809543,23697302.040055554,3303.070867894726,-3529.6747482102246,-790.0264288077988
1.0,2025-10-20T15:47:32.476194Z,-9982272.310951421,-14678321.36666108,23696511.831664093,3303.1710949528997,-3529.5273894375414,-790.3903520690009
2.0,2025-10-20T15:47:33.476196Z,-9981109.731485058,-14680394.729169926,23695720.713510502,3303.2712341026186,-3529.3799287502898,-790.7542446438108
3.0,2025-10-20T15:47:34.476198Z,-9979947.507495254,-14682468.33926907,23694929.595356908,3303.3714123210434,-3529.2325014378753,-791.1181372186207
4.0,2025-10-20T15:47:35.476199Z,-9978785.63901193,-14684542.196917687,23694138.47720332,3303.4716296038373,-3529.0851075052105,-791.4820297934308
5.0,2025-10-20T15:47:36.476200Z,-9977624.12606501,-14686616.302074956,23693347.359049726,3303.571885946664,-3528.937746957209,-791.8459223682407
6.0,2025-10-20T15:47:37.476201Z,-9976461.437591117,-14688688.397613542,23692552.602708682,3303.6716732740324,-3528.789878858453,-792.2096918072637
7.0,2025-10-20T15:47:38.476202Z,-9975299.104384288,-14690760.740802435,23691757.846367635,3303.771499731656,-3528.64204408009,-792.5734612462867
8.0,2025-10-20T15:47:39.476203Z,-9974137.12647446,-14692833.331600847,23690963.09002659,3303.871365315207,-3528.4942426270395,-792.9372306853096
9.0,2025-10-20T15:47:40.476204Z,-9972975.50389156,-14694906.16996797,23690168.333685543,3303.9712700203545,-3528.346474504222,-793.3010001243326
10.0,2025-10-20T15:47:41.476205Z,-9971814.236665512,-14696979.25586301,23689373.577344496,3304.071213842769,-3528.1987397165576,-793.6647695633557
11.0,2025-10-20T15:47:42.476206Z,-9970653.324826244,-14699052.589245161,23688578.821003452,3304.1711967781202,-3528.051038268965,-794.0285390023786
12.0,2025-10-20T15:47:43.476207Z,-9969492.768403668,-14701126.170073608,23687784.064662408,3304.2712188220758,-3527.903370166362,-794.3923084414015
13.0,2025-10-20T15:47:44.476208Z,-9968332.567427704,-14703199.998307548,23686989.30832136,3304.3712799703053,-3527.755735413668,-794.7560778804245
14.0,2025-10-20T15:47:45.476209Z,-9967172.721928256,-14705274.073906166,23686194.551980317,3304.471380218477,-3527.6081340157994,-795.1198473194476
15.0,2025-10-20T15:47:46.476210Z,-9966013.231935233,-14707348.396828646,23685399.79563927,3304.5715195622574,-3527.460565977675,-795.4836167584705
16.0,2025-10-20T15:47:47.476210Z,-9964854.097478535,-14709422.967034165,23684605.039298225,3304.671697997313,-3527.3130313042097,-795.8473861974934
17.0,2025-10-20T15:47:48.476211Z,-9963695.31858806,-14711497.784481902,23683810.28295718,3304.7719155193113,-3527.1655300003217,-796.2111556365164
18.0,2025-10-20T15:47:49.476212Z,-9962536.895293703,-14713572.84913103,23683015.52661613,3304.872172123917,-3527.018062070926,-796.5749250755393
19.0,2025-10-20T15:47:50.476213Z,-9961378.827625353,-14715648.16094072,23682220.770275086,3304.9724678067964,-3526.870627520936,-796.9386945145624
20.0,2025-10-20T15:47:51.476214Z,-9960221.115612894,-14717723.719870143,23681426.01393404,3305.072802563614,-3526.7232263552714,-797.3024639535854
21.0,2025-10-20T15:47:52.476215Z,-9959063.759286212,-14719799.52587846,23680631.257592995,3305.173176390034,-3526.575858578843,-797.6662333926083
22.0,2025-10-20T15:47:53.476216Z,-9957900.66223569,-14721866.509679511,23679821.9624119,3305.271553421934,-3526.426364794929,-798.0295040496981
23.0,2025-10-20T15:47:54.476217Z,-9956737.919608047,-14723933.741366947,23679012.6672308,3305.3699698297078,-3526.2769041131764,-798.3927747067879
24.0,2025-10-20T15:47:55.476218Z,-9955575.531433247,-14726001.220900064,23678203.372049697,3305.468425609047,-3526.1274765385338,-798.7560453638777
25.0,2025-10-20T15:47:56.476219Z,-9954413.497741254,-14728068.948238164,23677394.0768686,3305.5669207556502,-3525.978082075947,-799.1193160209675
26.0,2025-10-20T15:47:57.476220Z,-9953251.818562023,-14730136.92334054,23676584.7816875,3305.6654552652108,-3525.8287207303642,-799.4825866780573
27.0,2025-10-20T15:47:58.476221Z,-9952090.493925512,-14732205.146166481,23675775.486506406,3305.764029133421,-3525.679392506731,-799.8458573351471
28.0,2025-10-20T15:47:59.476221Z,-9950929.523861669,-14734273.616675278,23674966.191325307,3305.862642355975,-3525.5300974099923,-800.2091279922369
29.0,2025-10-20T15:48:00.476222Z,-9949768.90840044,-14736342.334826216,23674156.89614421,3305.961294928566,-3525.3808354450953,-800.5723986493267
30.0,2025-10-20T15:48:01.476223Z,-9948608.64757177,-14738411.300578577,23673347.60096311,3306.059986846886,-3525.2316066169833,-800.9356693064165
31.0,2025-10-20T15:48:02.476224Z,-9947448.741405597,-14740480.513891637,23672538.305782013,3306.1587181066257,-3525.082410930601,-801.2989399635063
32.0,2025-10-20T15:48:03.476225Z,-9946289.189931849,-14742549.974724678,23671729.010600913,3306.257488703477,-3524.933248390893,-801.662210620596
33.0,2025-10-20T15:48:04.476226Z,-9945129.993180461,-14744619.683036966,23670919.715419814,3306.3562986331317,-3524.7841190028025,-802.0254812776859
34.0,2025-10-20T15:48:05.476227Z,-9943971.151181363,-14746689.638787776,23670110.42023872,3306.4551478912776,-3524.6350227712724,-802.3887519347757
35.0,2025-10-20T15:48:06.476228Z,-9942812.663964467,-14748759.841936378,23669301.125057615,3306.5540364736066,-3524.4859597012464,-802.7520225918655
36.0,2025-10-20T15:48:07.476229Z,-9941654.5315597,-14750830.292442026,23668491.82987652,3306.6529643758054,-3524.3369297976656,-803.1152932489553
37.0,2025-10-20T15:48:08.476230Z,-9940496.753996968,-14752900.990263985,23667682.53469542,3306.751931593565,-3524.1879330654706,-803.4785639060451
38.0,2025-10-20T15:48:09.476231Z,-9939339.331306186,-14754971.935361518,23666873.239514325,3306.850938122572,-3524.0389695096046,-803.8418345631349
39.0,2025-10-20T15:48:10.476232Z,-9938182.263517259,-14757043.127693875,23666063.944333225,3306.949983958515,-3523.890039135008,-804.2051052202247
40.0,2025-10-20T15:48:11.476233Z,-9937025.550660087,-14759114.567220308,23665254.649152126,3307.049069097081,-3523.7411419466202,-804.5683758773145
41.0,2025-10-20T15:48:12.476233Z,-9935869.192764571,-14761186.253900062,23664445.353971027,3307.148193533955,-3523.5922779493835,-804.9316465344043
42.0,2025-10-20T15:48:13.476234Z,-9934713.189860597,-14763258.18769239,23663636.058789928,3307.2473572648246,-3523.443447148234,-805.294917191494
43.0,2025-10-20T15:48:14.476235Z,-9933557.541978063,-14765330.368556531,23662826.763608832,3307.3465602853753,-3523.294649548113,-805.6581878485839
44.0,2025-10-20T15:48:15.476236Z,-9932402.24914685,-14767402.796451721,23662017.468427733,3307.445802591292,-3523.1458851539587,-806.0214585056736
45.0,2025-10-20T15:48:16.476237Z,-9931247.31139684,-14769475.471337205,23661208.173246633,3307.545084178258,-3522.997153970709,-806.3847291627635
46.0,2025-10-20T15:48:17.476238Z,-9930092.728757909,-14771548.393172208,23660398.878065534,3307.644405041959,-3522.8484560033007,-806.7479998198532
47.0,2025-10-20T15:48:18.476239Z,-9928938.501259936,-14773621.561915964,23659589.58288444,3307.743765178078,-3522.6997912566735,-807.1112704769431
48.0,2025-10-20T15:48:19.476240Z,-9927784.628932783,-14775694.977527699,23658780.28770334,3307.843164582297,-3522.5511597357604,-807.4745411340328
49.0,2025-10-20T15:48:20.476241Z,-9926631.111806314,-14777768.639966642,23657970.99252224,3307.9426032502993,-3522.402561445501,-807.8378117911227
50.0,2025-10-20T15:48:21.476242Z,-9925477.9499104,-14779842.549192008,23657161.697341144,3308.042081177768,-3522.2539963908293,-808.2010824482124
51.0,2025-10-20T15:48:22.476243Z,-9924325.14327489,-14781916.705163017,23656352.40216004,3308.1415983603824,-3522.1054645766817,-808.5643531053023
52.0,2025-10-20T15:48:23.476244Z,-9923172.69192964,-14783991.107838888,23655543.106978945,3308.2411547938254,-3521.956966007992,-808.927623762392
53.0,2025-10-20T15:48:24.476245Z,-9922020.595904496,-14786065.757178824,23654733.811797846,3308.3407504737756,-3521.808500689696,-809.2908944194819
54.0,2025-10-20T15:48:25.476246Z,-9920868.855229307,-14788140.653142044,23653924.51661675,3308.440385395915,-3521.660068626727,-809.6541650765716
55.0,2025-10-20T15:48:26.476247Z,-9919717.46993391,-14790215.79568775,23653115.22143565,3308.540059555921,-3521.511669824019,-810.0174357336614
56.0,2025-10-20T15:48:27.476248Z,-9918566.440048143,-14792291.184775142,23652305.92625455,3308.639772949474,-3521.3633042865044,-810.3807063907512
57.0,2025-10-20T15:48:28.476249Z,-9917415.76560184,-14794366.820363425,23651496.631073453,3308.739525572251,-3521.2149720191164,-810.743977047841
58.0,2025-10-20T15:48:29.476250Z,-9916265.446624827,-14796442.702411791,23650687.335892353,3308.8393174199305,-3521.066673026787,-811.1072477049308
59.0,2025-10-20T15:48:30.476251Z,-9915115.48314693,-14798518.830879442,23649878.040711258,3308.9391484881903,-3520.918407314448,-811.4705183620206
60.0,2025-10-20T15:48:31.476252Z,-9913965.87519797,-14800595.20572556,23649068.74553016,3309.0390187727075,-3520.770174887031,-811.8337890191104
61.0,2025-10-20T15:48:32.476253Z,-9912816.622807762,-14802671.826909337,23648259.450349063,3309.138928269158,-3520.621975749466,-812.1970596762002
62.0,2025-10-20T15:48:33.476254Z,-9911667.726006117,-14804748.694389954,23647450.15516796,3309.2388769732165,-3520.473809906684,-812.56033033329
63.0,2025-10-20T15:48:34.476255Z,-9910519.18482285,-14806825.808126597,23646640.859986864,3309.33886488056,-3520.3256773636153,-812.9236009903798
64.0,2025-10-20T15:48:35.476256Z,-9909370.999287756,-14808903.168078449,23645831.564805765,3309.438891986863,-3520.1775781251886,-813.2868716474696
65.0,2025-10-20T15:48:36.476257Z,-9908223.169430641,-14810980.774204673,23645022.26962467,3309.5389582877992,-3520.029512196333,-813.6501423045594
