t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-20T15:47:31.475959Z,-20974842.11427543,-11695884.34206913,-17339861.617791004,3444.0285244329775,-2980.511497802116,-2151.1984871291293
1.0,2025-10-20T15:47:32.476194Z,-20973103.729839046,-11695805.902143374,-17342012.68330355,3444.2386692875166,-2980.3943134385963,-2150.932532452412
2.0,2025-10-20T15:47:33.476196Z,-20971364.641425233,-11695727.329494646,-17344163.083805446,3444.4487176876937,-2980.2770611862793,-2150.666495140185
3.0,2025-10-20T15:47:34.476198Z,-20969625.653090373,-11695649.072663283,-17346313.48430734,3444.6588015006623,-2980.1598554181,-2150.4004578279582
4.0,2025-10-20T15:47:35.476199Z,-20967886.764871277,-11695571.131634267,-17348463.884809237,3444.86892072076,-2980.0426961385997,-2150.1344205157316
5.0,2025-10-20T15:47:36.476200Z,-20966147.976804744,-11695493.506392587,-17350614.28531113,3445.0790753423216,-2979.925583352318,-2149.8683832035044
6.0,2025-10-20T15:47:37.476201Z,-20964406.07484218,-11695414.402548136,-17352762.023457978,3445.2887376089257,-2979.8080597533744,-2149.6020156331633
7.0,2025-10-20T15:47:38.476202Z,-20962664.272844113,-11695335.61492973,-17354909.76160482,3445.4984353323657,-2979.690582579763,-2149.335648062822
8.0,2025-10-20T15:47:39.476203Z,-20960922.570847422,-11695257.143522369,-17357057.49975167,3445.708168506986,-2979.573151836031,-2149.069280492481
9.0,2025-10-20T15:47:40.476204Z,-20959180.96888894,-11695178.988311041,-17359205.23789851,3445.917937127129,-2979.455767526721,-2148.8029129221404
10.0,2025-10-20T15:47:41.476205Z,-20957439.467005517,-11695101.149280747,-17361352.976045355,3446.1277411871383,-2979.3384296563804,-2148.5365453517993
11.0,2025-10-20T15:47:42.476206Z,-20955698.065234028,-11695023.626416473,-17363500.7141922,3446.337580681357,-2979.2211382295536,-2148.270177781458
