epoch_utc,x_km,y_km,z_km,vx_kmps,vy_kmps,vz_kmps,ax_kmps2,ay_kmps2,az_kmps2,ax_g,ay_g,az_g,nis,did_update,R_inflation,R_floor_std_m,Nsats,beta_min_deg,beta_mean_deg,condA
2025-01-01T00:00:00.000000Z,3903.3876349493335,2007.932842961151,4766.967302521507,-1.6767765563898238,-2.6875919924110447,2.508630571510621,-0.0162007110692651,-0.042182771065426436,0.005023568313971011,-1.652012773910061,-4.301445556375157,0.5122614056758434,0.011138743296240528,True,3.0,100.0,7,,,
2025-01-01T00:00:01.000000Z,3901.739940178329,2005.2240219934624,4769.500436365158,-1.655586553631603,-2.7298965608741184,2.535773689582161,-0.015067068581855036,-0.0421864638193403,0.005694207059282367,-1.536413411496794,-4.301822112478807,0.5806475258403601,0.001836327667390925,True,3.0,100.0,7,,,
2025-01-01T00:00:02.000000Z,3899.9661770312778,2002.4412904936785,4772.021728421424,-1.7924838639987908,-2.8080407295524563,2.518149174650048,-0.07671701591201287,-0.06086320902206492,-0.008071432536909097,-7.822958493676523,-6.206320101366412,-0.8230570619843777,0.13284993814952611,True,3.0,100.0,7,,,
2025-01-01T00:00:03.000000Z,3898.305904563917,1999.710668715997,4774.483901081321,-1.6952891024920824,-2.7598977987675624,2.460210189100446,0.002080051019444293,-0.011743875797838206,-0.029520214025009536,0.21210617483486133,-1.197542055425472,-3.0102240851880646,0.41726205494821855,True,3.0,100.0,7,,,
2025-01-01T00:00:04.000000Z,3896.5552670765987,1996.8431725516045,4777.048559049716,-1.7407926356334196,-2.8567403947557892,2.530775276992322,-0.01517788656854831,-0.04236809983440994,0.006636953193532181,-1.5477137012688647,-4.320343831421529,0.6767808776220402,0.35718299598019165,True,3.0,100.0,7,,,
2025-01-01T00:00:05.000000Z,3894.8020149056047,1994.041052730176,4779.589528650151,-1.7593891368845551,-2.845528530950705,2.5428616245043356,-0.016210798651453372,-0.026083742557263565,0.008544810424776915,-1.6530414210207738,-2.6598015180784023,0.8713281726967838,0.17392663802696068,True,3.0,100.0,7,,,
2025-01-01T00:00:06.000000Z,3893.073514820398,1991.1896903584197,4782.090030636511,-1.752351319828176,-2.867535915314829,2.523575009702083,-0.010188600681112577,-0.025159913389903647,0.0013139187235609055,-1.0389481302088457,-2.5655971600805216,0.133982422495032,0.13124338541839795,True,3.0,100.0,7,,,
2025-01-01T00:00:07.000000Z,3891.3142517933456,1988.4895485136497,4784.579779911709,-1.7634624054563277,-2.7991019453704635,2.507752315308252,-0.010426293907132221,-0.0033485178586867004,-0.002131892209191515,-1.0631860938375717,-0.34145379499489636,-0.21739250500339208,1.5681741157652256,True,3.0,100.0,7,,,
2025-01-01T00:00:08.000000Z,3889.5714077071043,1985.5987572160157,4787.084547696657,-1.7618242975842555,-2.8446675780136483,2.504201602553076,-0.00781153780188947,-0.012575705224974155,-0.002744718940261487,-0.796555174487666,-1.282365050753739,-0.2798834403452236,0.5384651714325016,True,3.0,100.0,7,,,
2025-01-01T00:00:09.000000Z,3887.8601128930723,1982.7904699853348,4789.595830461954,-1.745924611531003,-2.8385165064671214,2.505565484218794,-0.0028547715138592614,-0.008597391654062626,-0.0016766154604294708,-0.29110567970298334,-0.8766899658968788,-0.17096719679293854,0.3323929213209847,True,3.0,100.0,7,,,
2025-01-01T00:00:10.000000Z,3886.0641545263593,1979.9285614558112,4792.0692482911645,-1.7691174861480878,-2.855493794177071,2.490473579871162,-0.007067297837422792,-0.010466879582262124,-0.004576999456810421,-0.7206638186763872,-1.0673246809320334,-0.4667240552900757,0.2838949205334802,True,3.0,100.0,7,,,
2025-01-01T00:00:11.000000Z,3884.3321572165346,1977.120754781598,4794.578451556482,-1.7594841226625304,-2.8438794887611603,2.4953575161084784,-0.003616073335343536,-0.005798936691864891,-0.0023761488942491056,-0.36873686073669765,-0.5913269762727222,-0.24229975519153896,0.3910375272152251,True,3.0,100.0,7,,,
2025-01-01T00:00:12.000000Z,3882.5399378860266,1974.3679595261078,4797.024587854641,-1.7757672900792523,-2.8119670561096157,2.4747216421445115,-0.006251873608502151,0.0018529173874259524,-0.005830083071031045,-0.6375136880078468,0.18894499012669488,-0.5945030230538507,0.7927575150803431,True,3.0,100.0,7,,,
2025-01-01T00:00:13.000000Z,3880.7267123489023,1971.532898719989,4799.473152309091,-1.7960850644158575,-2.8203627209750444,2.4588964495666623,-0.009168288272797694,-0.00036538957782604724,-0.008013828377863842,-0.9349052197027216,-0.037259367656238086,-0.817183072493037,0.18566629178654104,True,3.0,100.0,7,,,
2025-01-01T00:00:14.000000Z,3878.9378329884257,1968.7125971814978,4801.93135136659,-1.8004217374502418,-2.8205641262663934,2.452270775089242,-0.008170012499663462,-0.0003183662293707653,-0.007719028170321213,-0.8331094206139164,-0.032464320575401925,-0.7871218173709894,0.011010099375475717,True,3.0,100.0,7,,,
2025-01-01T00:00:15.000000Z,3877.1216230259843,1965.878486749621,4804.378123432951,-1.8134057264385204,-2.8264402187245077,2.443623109867762,-0.009164365768455501,-0.0014794604203341,-0.00796396806816324,-0.9345052355754004,-0.15086297770738222,-0.8120987358744567,0.02411312457155221,True,3.0,100.0,7,,,
2025-01-01T00:00:16.000000Z,3875.3516182878498,1963.0008604813772,4806.8080957529255,-1.8029150454312963,-2.848884479221254,2.4308636222881246,-0.005130567371322587,-0.005854358772765426,-0.009118899716007316,-0.5231722730313193,-0.5969784557178471,-0.9298689884932485,0.3694104932667198,True,3.0,100.0,7,,,
