sat_id,dst_ground_id,t_gen_s,t_arrive_s,data_age_s,n_hops,path
LEO_P6_S4,gs1,1735689606.0,1735689606.0314798,0.031479835510253906,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689606.0,1735689606.0117097,0.01170969009399414,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689606.0,1735689606.0294483,0.029448270797729492,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689607.0,1735689607.0128846,0.01288461685180664,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689607.0,1735689607.0226452,0.022645235061645508,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689607.0,1735689607.0018332,0.001833200454711914,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689607.0,1735689607.0173612,0.017361164093017578,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689607.0,1735689607.0314903,0.031490325927734375,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689607.0,1735689607.011727,0.011727094650268555,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689607.0,1735689607.0294526,0.02945256233215332,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689608.0,1735689608.0128968,0.01289677619934082,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689608.0,1735689608.0226536,0.022653579711914062,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689608.0,1735689608.0018342,0.0018341541290283203,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689608.0,1735689608.0173743,0.017374277114868164,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689608.0,1735689608.031501,0.031501054763793945,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689608.0,1735689608.0117447,0.01174473762512207,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689608.0,1735689608.029457,0.02945709228515625,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689609.0,1735689609.012909,0.012908935546875,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689609.0,1735689609.022662,0.022661924362182617,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689609.0,1735689609.0018353,0.0018353462219238281,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689609.0,1735689609.0173874,0.01738739013671875,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689609.0,1735689609.0315115,0.031511545181274414,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689609.0,1735689609.0117626,0.011762619018554688,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689609.0,1735689609.029462,0.029462099075317383,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689610.0,1735689610.012921,0.01292109489440918,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689610.0,1735689610.0226705,0.022670507431030273,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689610.0,1735689610.001837,0.001837015151977539,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689610.0,1735689610.0174003,0.017400264739990234,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689610.0,1735689610.0315223,0.031522274017333984,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689610.0,1735689610.011781,0.011780977249145508,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689610.0,1735689610.0294673,0.029467344284057617,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689611.0,1735689611.0129333,0.01293325424194336,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689611.0,1735689611.0226789,0.022678852081298828,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689611.0,1735689611.001839,0.0018389225006103516,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689611.0,1735689611.0174134,0.01741337776184082,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689611.0,1735689611.031533,0.031533002853393555,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689611.0,1735689611.0117998,0.011799812316894531,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689611.0,1735689611.029473,0.029473066329956055,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689612.0,1735689612.0129454,0.012945413589477539,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689612.0,1735689612.0226872,0.022687196731567383,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689612.0,1735689612.0018413,0.0018413066864013672,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689612.0,1735689612.0174265,0.017426490783691406,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689612.0,1735689612.0315437,0.031543731689453125,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689612.0,1735689612.011819,0.011818885803222656,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689612.0,1735689612.0294793,0.029479265213012695,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689613.0,1735689613.0129576,0.012957572937011719,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689613.0,1735689613.0226958,0.02269577980041504,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689613.0,1735689613.001844,0.0018439292907714844,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689613.0,1735689613.0174396,0.017439603805541992,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689613.0,1735689613.0315545,0.031554460525512695,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689613.0,1735689613.0118382,0.011838197708129883,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689613.0,1735689613.0294857,0.029485702514648438,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689614.0,1735689614.0129697,0.012969732284545898,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689614.0,1735689614.0227041,0.022704124450683594,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689614.0,1735689614.0018468,0.0018467903137207031,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689614.0,1735689614.0174525,0.017452478408813477,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689614.0,1735689614.0315652,0.031565189361572266,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689614.0,1735689614.011858,0.011857986450195312,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689614.0,1735689614.0294924,0.02949237823486328,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689615.0,1735689615.012982,0.012981891632080078,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689615.0,1735689615.0227127,0.02271270751953125,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689615.0,1735689615.0018501,0.001850128173828125,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689615.0,1735689615.0174656,0.017465591430664062,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689615.0,1735689615.031576,0.031575918197631836,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689615.0,1735689615.0118783,0.011878252029418945,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689615.0,1735689615.0294995,0.029499530792236328,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689616.0,1735689616.012994,0.012994050979614258,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689616.0,1735689616.022721,0.022721052169799805,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689616.0,1735689616.0018537,0.0018537044525146484,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689616.0,1735689616.0174787,0.01747870445251465,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689616.0,1735689616.0315866,0.031586647033691406,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689616.0,1735689616.0118985,0.011898517608642578,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689616.0,1735689616.0295072,0.029507160186767578,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689617.0,1735689617.0130062,0.013006210327148438,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689617.0,1735689617.0227296,0.02272963523864746,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689617.0,1735689617.0018578,0.001857757568359375,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689617.0,1735689617.0174918,0.017491817474365234,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689617.0,1735689617.0315974,0.03159737586975098,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689617.0,1735689617.0119195,0.011919498443603516,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689617.0,1735689617.029515,0.02951502799987793,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689618.0,1735689618.0130186,0.013018608093261719,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689618.0,1735689618.022738,0.022737979888916016,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689618.0,1735689618.001862,0.0018620491027832031,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689618.0,1735689618.017505,0.01750493049621582,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689618.0,1735689618.031608,0.03160810470581055,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689618.0,1735689618.0119405,0.011940479278564453,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689618.0,1735689618.0295231,0.029523134231567383,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689619.0,1735689619.0130308,0.013030767440795898,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689619.0,1735689619.0227466,0.022746562957763672,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689619.0,1735689619.0018666,0.0018665790557861328,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689619.0,1735689619.017518,0.017518043518066406,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689619.0,1735689619.0316188,0.03161883354187012,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689619.0,1735689619.011962,0.011961936950683594,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689619.0,1735689619.0295317,0.02953171730041504,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689620.0,1735689620.013043,0.013042926788330078,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689620.0,1735689620.0227551,0.022755146026611328,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689620.0,1735689620.0018716,0.0018715858459472656,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689620.0,1735689620.0175312,0.017531156539916992,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689620.0,1735689620.0316298,0.03162980079650879,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689620.0,1735689620.0119839,0.011983871459960938,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689620.0,1735689620.0295405,0.029540538787841797,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689621.0,1735689621.0130553,0.01305532455444336,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689621.0,1735689621.0227635,0.022763490676879883,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689621.0,1735689621.0018768,0.0018768310546875,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689621.0,1735689621.0175443,0.017544269561767578,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689621.0,1735689621.0316405,0.03164052963256836,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689621.0,1735689621.012006,0.012006044387817383,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689621.0,1735689621.0295498,0.029549837112426758,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689622.0,1735689622.013067,0.013067007064819336,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689622.0,1735689622.0227716,0.022771596908569336,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689622.0,1735689622.0018816,0.0018815994262695312,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689622.0,1735689622.017557,0.01755690574645996,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689622.0,1735689622.0316508,0.03165078163146973,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689622.0,1735689622.0120273,0.012027263641357422,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689622.0,1735689622.0295582,0.029558181762695312,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689623.0,1735689623.0130787,0.013078689575195312,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689623.0,1735689623.0227797,0.02277970314025879,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689623.0,1735689623.0018868,0.0018868446350097656,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689623.0,1735689623.0175695,0.017569541931152344,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689623.0,1735689623.031661,0.031661033630371094,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689623.0,1735689623.012049,0.012048959732055664,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689623.0,1735689623.0295668,0.02956676483154297,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689624.0,1735689624.0130906,0.01309061050415039,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689624.0,1735689624.0227878,0.022787809371948242,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689624.0,1735689624.001892,0.00189208984375,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689624.0,1735689624.0175822,0.017582178115844727,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689624.0,1735689624.031671,0.03167104721069336,2,LEO_P6_S4->LEO_P6_S3->gs1
