sat_id,T_LOS_s,T_TX_s,RCU,N_visible,N_connected,longest_connected_s,longest_outage_s,p50_ms,p90_ms,p99_ms
LEO_P6_S2,637.0,637.0,1.0,637,637,637.0,0.0,7.239341735839844,11.224985122680664,12.076454162597656
LEO_P7_S2,598.0,598.0,1.0,598,598,598.0,0.0,21.40796184539795,28.536987304687504,30.011262893676758
LEO_P5_S3,591.0,591.0,1.0,591,591,591.0,0.0,16.24441146850586,18.764257431030273,19.283103942871094
LEO_P5_S2,573.0,573.0,1.0,573,573,573.0,0.0,7.598638534545898,9.069538116455078,13.242979049682617
LEO_P6_S3,566.0,566.0,1.0,566,566,566.0,0.0,20.739436149597168,23.191452026367188,23.707151412963867
LEO_P6_S4,134.0,134.0,1.0,134,134,134.0,0.0,32.1199893951416,32.67784118652344,32.80428647994995
LEO_P7_S3,131.0,131.0,1.0,131,131,131.0,0.0,30.182600021362305,31.293869018554688,31.562304496765137
LEO_P5_S4,129.0,129.0,1.0,129,129,129.0,0.0,23.1173038482666,23.52609634399414,23.616256713867188
