epoch_utc,x_est_km,y_est_km,z_est_km,geom_ok,beta_deg,gdop,n_sats,sats,satA,satB,tgt,run_id,P_xx,P_xy,P_xz,P_yx,P_yy,P_yz,P_zx,P_zy,P_zz
2025-01-01 00:00:00+00:00,3903.3837626645422,2007.9361421621225,4766.961391426703,1,8.552587120711433,0.07997934428634575,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.001437293174512952,0.0001087746448412321,-0.00028041921449499833,0.00010877464484123209,0.0030698044616824438,-0.0011031939652102608,-0.0002804192144949983,-0.0011031939652102608,0.0018895978762784303
2025-01-01 00:00:01+00:00,3901.7402852542564,2005.223959946119,4769.500621735443,1,8.349565345186752,0.07990610865943616,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0014196351669887933,0.00010079271748077468,-0.00027135040668471245,0.00010079271748077467,0.003075293916260021,-0.001116286425382431,-0.0002713504066847124,-0.0011162864253824309,0.001890057117844804
2025-01-01 00:00:02+00:00,3899.9564134176308,2002.4387794214906,4772.021296562142,1,8.152640486190991,0.07983534769250078,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0014020997350105765,9.233261738136841e-05,-0.0002620276366890926,9.233261738136845e-05,0.0030807382224534445,-0.0011296108631298394,-0.0002620276366890926,-0.0011296108631298394,0.0018908447837184695
2025-01-01 00:00:03+00:00,3898.3219245075584,1999.7213569287785,4774.4772923428645,1,7.969023464962787,0.079767032855892,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013848513284280075,8.396701917924568e-05,-0.0002527951423382158,8.396701917924569e-05,0.003086141667578241,-0.001143018033877075,-0.0002527951423382158,-0.001143018033877075,0.001891786534626705
2025-01-01 00:00:04+00:00,3896.547053145254,1996.8276559980877,4777.066444663691,1,7.788201184894486,0.07970215771344213,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013677576000942933,7.508270211235287e-05,-0.0002432680061542235,7.50827021123529e-05,0.0030916403426402687,-0.0011566894942844164,-0.00024326800615422355,-0.0011566894942844164,0.001893036001443841
2025-01-01 00:00:05+00:00,3894.800931266332,1994.056962567713,4779.590039556022,1,7.619536964527642,0.079639774208368,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013509160022975775,6.602881674991416e-05,-0.00023365371140259824,6.602881674991417e-05,0.003097126540089449,-0.0011704672302957754,-0.00023365371140259827,-0.0011704672302957754,0.00189445109357281
2025-01-01 00:00:06+00:00,3893.0848458976056,1991.19257341258,4782.07662542796,1,7.460286030880505,0.07957875795774245,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013343006754860135,5.6910855789592676e-05,-0.00022403954813387766,5.6910855789592697e-05,0.0031022630979637565,-0.0011844267250006035,-0.00022403954813387763,-0.0011844267250006035,0.0018962149446471869
2025-01-01 00:00:07+00:00,3891.3135089053253,1988.5529999515727,4784.562589123892,1,7.3173342479761345,0.07952174658070361,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013178845735640876,4.732332996798687e-05,-0.00021410323547847512,4.7323329967986895e-05,0.003107910099394266,-0.001198488078501115,-0.00021410323547847515,-0.001198488078501115,0.0018979135062872935
2025-01-01 00:00:08+00:00,3889.582091958151,1985.563011471438,4787.087420746089,1,7.1729080124948785,0.07946684887932516,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0013017423499645014,3.7685660351185106e-05,-0.00020417883796409035,3.768566035118512e-05,0.0031131003635887005,-0.0012127798831824547,-0.00020417883796409038,-0.0012127798831824547,0.0019001373572562995
2025-01-01 00:00:09+00:00,3887.8842349185425,1982.8083362487612,4789.596804622644,1,7.048584534016922,0.07941461319034321,7,"LEO_P5_S3,LEO_P5_S4,LEO_P6_S2,LEO_P6_S3,LEO_P6_S4,LEO_P7_S2,LEO_P7_S3",,,HGV_330,20251025T211158Z,0.0012858587260644874,2.7720749767052042e-05,-0.0001940704741893477,2.7720749767052035e-05,0.003118313379777484,-0.001227163106107769,-0.0001940704741893477,-0.0012271631061077687,0.0019025086823298615
