epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,1330834.6705110688,8555654.492884595,3656438.206256488,-1861.8829258277628,3749.469687294588,-3401.362440252766
2025-01-01T00:00:01.000000Z,1330220.5074377714,8559207.884560881,3653035.966589759,-1862.514408112735,3745.4082411559098,-3403.1164507764747
2025-01-01T00:00:02.000000Z,1329605.2757851738,8562751.14648142,3649629.351838861,-1863.1433324999773,3741.348389627045,-3404.863836116272
2025-01-01T00:00:03.000000Z,1328990.5679701392,8566294.543622963,3646222.737087963,-1863.772858884492,3737.288649760472,-3406.6112214560694
2025-01-01T00:00:04.000000Z,1328376.384009116,8569838.075927949,3642816.122337065,-1864.402987253336,3733.2290216224,-3408.358606795867
2025-01-01T00:00:05.000000Z,1327762.7239185458,8573381.743338823,3639409.507586167,-1865.0337175935615,3729.1695052790337,-3410.105992135665
2025-01-01T00:00:06.000000Z,1327143.2673272584,8576884.533017335,3635985.5770159713,-1865.652486462684,3725.115994154088,-3411.8270842567968
2025-01-01T00:00:07.000000Z,1326524.328657927,8580387.45860861,3632561.6464457745,-1866.271856417836,3721.062593123948,-3413.5481763779294
2025-01-01T00:00:08.000000Z,1325905.9079270791,8583890.52005574,3629137.715875578,-1866.89182744625,3717.009302254723,-3415.269268499062
2025-01-01T00:00:09.000000Z,1325288.0051512346,8587393.717301808,3625713.7853053818,-1867.5123995351516,3712.956121612519,-3416.990360620194
2025-01-01T00:00:10.000000Z,1324670.620346909,8590897.050289907,3622289.854735185,-1868.133572671761,3708.903051263445,-3418.711452741327
2025-01-01T00:00:11.000000Z,1324053.7535306124,8594400.51896312,3618865.924164989,-1868.7553468432895,3704.850091273603,-3420.432544862459
2025-01-01T00:00:12.000000Z,1323437.4047188489,8597904.123264533,3615441.9935947927,-1869.3777220369452,3700.797241709098,-3422.1536369835912
2025-01-01T00:00:13.000000Z,1322821.5739281175,8601407.863137227,3612018.063024596,-1870.000698239927,3696.7445026360338,-3423.874729104724
2025-01-01T00:00:14.000000Z,1322206.261174911,8604911.73852428,3608594.132454399,-1870.624275439429,3692.691874120511,-3425.5958212258565
2025-01-01T00:00:15.000000Z,1321591.4664757175,8608415.749368776,3605170.201884203,-1871.248453622638,3688.639356228629,-3427.316913346989
2025-01-01T00:00:16.000000Z,1320977.1898470193,8611919.89561379,3601746.271314007,-1871.8732327767343,3684.5869490264863,-3429.038005468122
2025-01-01T00:00:17.000000Z,1320363.431305292,8615424.177202394,3598322.3407438104,-1872.4986128888927,3680.5346525801806,-3430.7590975892535
2025-01-01T00:00:18.000000Z,1319750.1908670077,8618928.594077665,3594898.410173614,-1873.1245939462808,3676.4824669558097,-3432.480189710386
2025-01-01T00:00:19.000000Z,1319137.468548631,8622433.146182677,3591474.4796034177,-1873.751175936059,3672.430392219465,-3434.201281831519
2025-01-01T00:00:20.000000Z,1318525.264366622,8625937.833460497,3588050.5490332213,-1874.3783588453832,3668.378428437242,-3435.922373952651
2025-01-01T00:00:21.000000Z,1317913.5783374356,8629442.655854195,3584626.618463025,-1875.0061426614025,3664.326575675233,-3437.6434660737837
2025-01-01T00:00:22.000000Z,1317277.988343827,8632784.29031253,3581136.3085940313,-1875.5854543843311,3660.297794731638,-3439.262562093429
2025-01-01T00:00:23.000000Z,1316642.8927166583,8636126.063335527,3577645.9987250376,-1876.1653636398464,3656.269117783396,-3440.8816581130745
2025-01-01T00:00:24.000000Z,1316008.2914727577,8639467.974868855,3574155.688856044,-1876.7458704158596,3652.240544896232,-3442.5007541327195
2025-01-01T00:00:25.000000Z,1315374.184628947,8642810.024858175,3570665.3789870506,-1877.3269747002769,3648.2120761358647,-3444.119850152365
2025-01-01T00:00:26.000000Z,1314740.572202043,8646152.213249158,3567175.069118057,-1877.9086764809967,3644.183711568015,-3445.73894617201
2025-01-01T00:00:27.000000Z,1314107.454208857,8649494.539987465,3563684.7592490637,-1878.490975745912,3640.155451258401,-3447.3580421916554
2025-01-01T00:00:28.000000Z,1313474.8306661963,8652837.005018761,3560194.4493800695,-1879.0738724829096,3636.127295272739,-3448.977138211301
2025-01-01T00:00:29.000000Z,1312842.7015908612,8656179.608288707,3556704.1395110763,-1879.6573666798688,3632.099243676748,-3450.5962342309463
2025-01-01T00:00:30.000000Z,1312211.0669996475,8659522.349742956,3553213.8296420826,-1880.241458324663,3628.071296536141,-3452.2153302505917
2025-01-01T00:00:31.000000Z,1311579.9269093464,8662865.229327174,3549723.5197730893,-1880.82614740516,3624.0434539166304,-3453.834426270237
2025-01-01T00:00:32.000000Z,1310949.281336742,8666208.246987008,3546233.2099040956,-1881.4114339092196,3620.0157158839306,-3455.453522289882
2025-01-01T00:00:33.000000Z,1310319.1302986145,8669551.402668117,3542742.900035102,-1881.997317824697,3615.9880825037526,-3457.0726183095276
2025-01-01T00:00:34.000000Z,1309689.4738117384,8672894.696316147,3539252.590166108,-1882.5837991394392,3611.9605538418064,-3458.691714329173
2025-01-01T00:00:35.000000Z,1309060.3118928836,8676238.127876757,3535762.280297115,-1883.1708778412888,3607.933129963801,-3460.310810348818
2025-01-01T00:00:36.000000Z,1308431.6445588134,8679581.697295588,3532271.9704281213,-1883.75855391808,3603.9058109354423,-3461.929906368463
2025-01-01T00:00:37.000000Z,1307803.4718262863,8682925.404518291,3528781.660559128,-1884.3468273576411,3599.87859682244,-3463.549002388109
2025-01-01T00:00:38.000000Z,1307175.7937120565,8686269.24949051,3525291.350690134,-1884.9356981477952,3595.8514876904965,-3465.1680984077543
2025-01-01T00:00:39.000000Z,1306548.6102328713,8689613.232157886,3521801.0408211406,-1885.5251662763576,3591.824483605317,-3466.7871944274
2025-01-01T00:00:40.000000Z,1305921.9214054735,8692957.352466065,3518310.730952147,-1886.1152317311385,3587.7975846326035,-3468.4062904470447
2025-01-01T00:00:41.000000Z,1305295.7272466011,8696301.610360686,3514820.4210831537,-1886.7058944999403,3583.770790838058,-3470.02538646669
2025-01-01T00:00:42.000000Z,1304670.027772986,8699646.005787382,3511330.11121416,-1887.2971545705595,3579.744102287381,-3471.6444824863356
2025-01-01T00:00:43.000000Z,1304044.8230013552,8702990.538691796,3507839.8013451663,-1887.8890119307864,3575.7175190462717,-3473.263578505981
