epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,7242332.963356155,7242332.963356152,1.178664364751927e-09,-1594.9459097538954,1594.9459097538972,-4145.175893547998
2025-01-01T00:00:01.000000Z,7241792.971181101,7242870.385805662,-4145.175637246552,-1597.5941031733646,1592.297519346201,-4145.1751246471595
2025-01-01T00:00:02.000000Z,7241246.379890331,7243401.207504348,-8290.343585473738,-1600.2412146109784,1589.6480418306198,-4145.170511229643
2025-01-01T00:00:03.000000Z,7240699.904529746,7243932.147427479,-12435.511533700928,-1602.88872093504,1586.9989588576495,-4145.165897812128
2025-01-01T00:00:04.000000Z,7240153.545113676,7244463.205560963,-16580.679481928117,-1605.5366221020836,1584.3502704707912,-4145.16128439461
2025-01-01T00:00:05.000000Z,7239607.301656459,7244994.381890714,-20725.847430155303,-1608.1849180686384,1581.7019767135423,-4145.156670977094
2025-01-01T00:00:06.000000Z,7239034.329747588,7245498.784246867,-24870.876972015096,-1610.827736358875,1579.04811550484,-4145.136678549354
2025-01-01T00:00:07.000000Z,7238461.4699043585,7246003.308686305,-29015.90651387489,-1613.4709502312307,1576.3946481563114,-4145.116686121612
2025-01-01T00:00:08.000000Z,7237888.722141531,7246507.955195369,-33160.93605573468,-1616.114559642317,1573.7415747115365,-4145.096693693871
2025-01-01T00:00:09.000000Z,7237316.086473861,7247012.723760392,-37305.96559759447,-1618.7585645487395,1571.0888952140897,-4145.07670126613
2025-01-01T00:00:10.000000Z,7236743.562916105,7247517.61436771,-41450.995139454266,-1621.4029649071006,1568.4366097075429,-4145.056708838389
2025-01-01T00:00:11.000000Z,7236171.151483013,7248022.6270036595,-45596.024681314055,-1624.047760673998,1565.7847182354633,-4145.036716410647
2025-01-01T00:00:12.000000Z,7235598.85218934,7248527.761654565,-49741.05422317385,-1626.6929518060251,1563.1332208414128,-4145.016723982906
2025-01-01T00:00:13.000000Z,7235026.665049835,7249033.018306766,-53886.08376503364,-1629.338538259772,1560.4821175689506,-4144.996731555166
2025-01-01T00:00:14.000000Z,7234454.59007925,7249538.396946583,-58031.11330689343,-1631.9845199918234,1557.8314084616306,-4144.976739127424
2025-01-01T00:00:15.000000Z,7233882.627292329,7250043.897560348,-62176.142848753225,-1634.63089695876,1555.181093563003,-4144.956746699683
2025-01-01T00:00:16.000000Z,7233310.776703823,7250549.520134385,-66321.17239061302,-1637.277669117159,1552.5311729166135,-4144.936754271942
2025-01-01T00:00:17.000000Z,7232739.038328473,7251055.264655018,-70466.20193247282,-1639.9248364235914,1549.881646566003,-4144.916761844201
2025-01-01T00:00:18.000000Z,7232167.412181026,7251561.131108572,-74611.2314743326,-1642.5723988346265,1547.2325145547102,-4144.896769416459
2025-01-01T00:00:19.000000Z,7231595.898276223,7252067.119481366,-78756.26101619238,-1645.220356306828,1544.5837769262666,-4144.876776988719
2025-01-01T00:00:20.000000Z,7231024.496628805,7252573.229759721,-82901.29055805218,-1647.8687087967555,1541.935433724202,-4144.856784560977
2025-01-01T00:00:21.000000Z,7230453.207253511,7253079.461929955,-87046.32009991199,-1650.5174562609643,1539.2874849920408,-4144.8367921332365
2025-01-01T00:00:22.000000Z,7229774.954229713,7253477.912832381,-91189.07254657628,-1653.1436462647644,1536.6155125364123,-4144.755220992653
2025-01-01T00:00:23.000000Z,7229096.797771238,7253876.501216092,-95331.82499324056,-1655.7702347172772,1533.9439312904233,-4144.67364985207
2025-01-01T00:00:24.000000Z,7228418.73789453,7254275.227069127,-99474.57743990488,-1658.397221575413,1531.2727412979752,-4144.592078711487
2025-01-01T00:00:25.000000Z,7227740.774616034,7254674.090379517,-103617.32988656916,-1661.0246067960754,1528.601942602966,-4144.510507570904
2025-01-01T00:00:26.000000Z,7227062.907952187,7255073.091135296,-107760.08233323344,-1663.6523903361654,1525.9315352492874,-4144.428936430322
2025-01-01T00:00:27.000000Z,7226385.137919432,7255472.22932449,-111902.83477989776,-1666.2805721525776,1523.2615192808291,-4144.347365289738
2025-01-01T00:00:28.000000Z,7225707.464534207,7255871.504935131,-116045.58722656204,-1668.9091522022045,1520.591894741476,-4144.265794149156
2025-01-01T00:00:29.000000Z,7225029.887812949,7256270.917955244,-120188.33967322632,-1671.5381304419332,1517.9226616751075,-4144.184223008573
