epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,-3729208.764218317,-869794.0287566662,5555156.326851922,-5440.966504820407,-5699.447436472688,149.36653596191732
2025-01-01T00:00:01.000000Z,-3734774.5497370334,-874948.6309733163,5555302.090849584,-5436.147359045985,-5698.320938151681,142.16348980547977
2025-01-01T00:00:02.000000Z,-3740329.013471491,-880099.5805214462,5555429.892812489,-5431.331253385391,-5697.181631789503,134.99080643118688
2025-01-01T00:00:03.000000Z,-3745884.248262821,-885249.7246174078,5555557.694775394,-5426.515010500226,-5696.0430581240835,127.81812305689397
2025-01-01T00:00:04.000000Z,-3751440.2540230863,-890399.0631761403,5555685.4967383,-5421.698630471737,-5694.905217169376,120.64543968260108
2025-01-01T00:00:05.000000Z,-3756997.030664344,-895547.5961125918,5555813.298701205,-5416.882113381173,-5693.768108939323,113.47275630830816
2025-01-01T00:00:06.000000Z,-3762506.286707528,-900683.6073619998,5555870.0944346525,-5412.078652114334,-5692.578943666973,106.41979149284693
2025-01-01T00:00:07.000000Z,-3768016.3117473647,-905818.8198620396,5555926.890168101,-5407.27504624887,-5691.390509223356,99.36682667738567
2025-01-01T00:00:08.000000Z,-3773527.105696655,-910953.2335278714,5555983.68590155,-5402.471295865828,-5690.202805623236,92.31386186192448
2025-01-01T00:00:09.000000Z,-3779038.6684681913,-916086.8482746646,5556040.481634998,-5397.667401046248,-5689.015832881369,85.26089704646323
2025-01-01T00:00:10.000000Z,-3784550.99997476,-921219.6640175964,5556097.277368445,-5392.863361871182,-5687.829591012501,78.207932231002
2025-01-01T00:00:11.000000Z,-3790064.100129138,-926351.6806718532,5556154.073101893,-5388.059178421676,-5686.644080031373,71.15496741554077
2025-01-01T00:00:12.000000Z,-3795577.968844095,-931482.898152629,5556210.868835341,-5383.254850778776,-5685.459299952713,64.10200260007953
2025-01-01T00:00:13.000000Z,-3801092.60603239,-936613.316375127,5556267.664568789,-5378.450379023537,-5684.275250791247,57.0490377846183
2025-01-01T00:00:14.000000Z,-3806608.011606776,-941742.9352545585,5556324.460302237,-5373.645763237008,-5683.091932561693,49.99607296915706
2025-01-01T00:00:15.000000Z,-3812124.185479996,-946871.7547061436,5556381.256035686,-5368.841003500246,-5681.909345278755,42.943108153695825
2025-01-01T00:00:16.000000Z,-3817641.127564787,-951999.7746451102,5556438.051769134,-5364.036099894301,-5680.727488957134,35.8901433382346
2025-01-01T00:00:17.000000Z,-3823158.8377738753,-957126.9949866956,5556494.847502581,-5359.231052500231,-5679.546363611521,28.837178522773364
2025-01-01T00:00:18.000000Z,-3828677.316019981,-962253.4156461448,5556551.643236029,-5354.425861399094,-5678.365969256601,21.78421370731213
2025-01-01T00:00:19.000000Z,-3834196.5622158134,-967379.0365387116,5556608.438969478,-5349.620526671949,-5677.186305907048,14.731248891850898
2025-01-01T00:00:20.000000Z,-3839716.576274077,-972503.8575796584,5556665.234702926,-5344.815048399856,-5676.007373577533,7.678284076389664
2025-01-01T00:00:21.000000Z,-3845237.358107464,-977627.8786842562,5556722.030436373,-5340.009426663878,-5674.829172282713,0.6253192609284308
2025-01-01T00:00:22.000000Z,-3850605.955054209,-982710.6058171112,5556560.949259702,-5335.2500913699605,-5673.496665642472,-6.0633378331370675
2025-01-01T00:00:23.000000Z,-3855975.313696523,-987792.5551513574,5556399.868083031,-5330.490590163171,-5672.164883295616,-12.751994927202563
2025-01-01T00:00:24.000000Z,-3861345.4339495166,-992873.7266029364,5556238.78690636,-5325.730923123832,-5670.83382525925,-19.440652021268065
2025-01-01T00:00:25.000000Z,-3866716.3157282914,-997954.1200877988,5556077.7057296885,-5320.971090332273,-5669.503491550483,-26.12930911533356
2025-01-01T00:00:26.000000Z,-3872087.9589479384,-1003033.7355219024,5555916.624553016,-5316.211091868821,-5668.173882186402,-32.81796620939906
2025-01-01T00:00:27.000000Z,-3877460.363523544,-1008112.5728212146,5555755.543376345,-5311.450927813807,-5666.844997184097,-39.50662330346456
2025-01-01T00:00:28.000000Z,-3882833.529370186,-1013190.63190171,5555594.462199674,-5306.690598247561,-5665.516836560645,-46.195280397530055
2025-01-01T00:00:29.000000Z,-3888207.45640293,-1018267.912679372,5555433.381023003,-5301.930103250419,-5664.189400333115,-52.88393749159555
2025-01-01T00:00:30.000000Z,-3893582.1445368384,-1023344.415070192,5555272.299846332,-5297.169442902715,-5662.862688518571,-59.57259458566105
2025-01-01T00:00:31.000000Z,-3898957.593686962,-1028420.1389901696,5555111.218669659,-5292.408617284783,-5661.536701134067,-66.26125167972654
2025-01-01T00:00:32.000000Z,-3904333.8037683447,-1033495.0843553132,5554950.137492987,-5287.6476264769635,-5660.211438196649,-72.94990877379205
2025-01-01T00:00:33.000000Z,-3909710.7746960223,-1038569.2510816384,5554789.056316316,-5282.886470559596,-5658.886899723355,-79.63856586785755
2025-01-01T00:00:34.000000Z,-3915088.5063850232,-1043642.63908517,5554627.975139645,-5278.125149613022,-5657.563085731218,-86.32722296192306
2025-01-01T00:00:35.000000Z,-3920466.998750366,-1048715.2482819406,5554466.893962974,-5273.363663717586,-5656.239996237261,-93.01588005598856
2025-01-01T00:00:36.000000Z,-3925846.2517070607,-1053787.0785879917,5554305.8127863025,-5268.6020129536255,-5654.917631258497,-99.70453715005404
2025-01-01T00:00:37.000000Z,-3931226.265170111,-1058858.1299193716,5554144.731609631,-5263.840197401496,-5653.595990811936,-106.39319424411954
2025-01-01T00:00:38.000000Z,-3936607.039054512,-1063928.4021921386,5553983.650432959,-5259.07821714154,-5652.2750749145725,-113.08185133818505
2025-01-01T00:00:39.000000Z,-3941988.573275249,-1068997.8953223575,5553822.569256288,-5254.316072254108,-5650.954883583405,-119.77050843225054
2025-01-01T00:00:40.000000Z,-3947370.8677472994,-1074066.6092261036,5553661.488079617,-5249.553762819551,-5649.635416835412,-126.45916552631604
