epoch_utc,meas_gen_epoch_utc,tri_ready_epoch_utc,t_publish_epoch_utc,queue_ms,age_transport_ms,tri_proc_ms,filter_proc_ms,photon_ms,photon_policy,measurement_age_ms,n_sats_req,n_sats_delivered,sats_requested,sats_delivered,run_id,target
2025-01-01T00:00:10.000000Z,2025-01-01T00:00:10.000000Z,2025-01-01T00:00:10.161982Z,2025-01-01T00:00:10.196982Z,84.24091339111328,161.98205947875977,15.0,20.0,99.45504787189431,max,296.43710735065406,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:11.000000Z,2025-01-01T00:00:11.000000Z,2025-01-01T00:00:11.161983Z,2025-01-01T00:00:11.196983Z,84.24091339111328,161.98301315307617,15.0,20.0,99.46967289947715,max,296.4526860525533,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:12.000000Z,2025-01-01T00:00:12.000000Z,2025-01-01T00:00:12.161984Z,2025-01-01T00:00:12.196985Z,84.2428207397461,161.98492050170898,15.0,20.0,99.48429507778609,max,296.4692155794951,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:13.000000Z,2025-01-01T00:00:13.000000Z,2025-01-01T00:00:13.161986Z,2025-01-01T00:00:13.196986Z,84.2440128326416,161.9861125946045,15.0,20.0,99.49891438411584,max,296.4850269787203,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:14.000000Z,2025-01-01T00:00:14.000000Z,2025-01-01T00:00:14.161988Z,2025-01-01T00:00:14.196988Z,84.24496650695801,161.9880199432373,15.0,20.0,99.51353079577713,max,296.5015507390144,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:15.000000Z,2025-01-01T00:00:15.000000Z,2025-01-01T00:00:15.161989Z,2025-01-01T00:00:15.196989Z,84.24615859985352,161.9892120361328,15.0,20.0,99.52814429009676,max,296.51735632622956,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:16.000000Z,2025-01-01T00:00:16.000000Z,2025-01-01T00:00:16.161989Z,2025-01-01T00:00:16.196990Z,84.24687385559082,161.98992729187012,15.0,20.0,99.54275484441716,max,296.5326821362873,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:17.000000Z,2025-01-01T00:00:17.000000Z,2025-01-01T00:00:17.161991Z,2025-01-01T00:00:17.196991Z,84.24878120422363,161.99183464050293,15.0,20.0,99.55736243609641,max,296.54919707659934,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:18.000000Z,2025-01-01T00:00:18.000000Z,2025-01-01T00:00:18.161993Z,2025-01-01T00:00:18.196993Z,84.24878120422363,161.99302673339844,15.0,20.0,99.57196704250798,max,296.56499377590643,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:19.000000Z,2025-01-01T00:00:19.000000Z,2025-01-01T00:00:19.161993Z,2025-01-01T00:00:19.196994Z,84.24973487854004,161.99398040771484,15.0,20.0,99.58656864104051,max,296.58054904875536,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
