epoch_utc,x_km,y_km,z_km,vx_kmps,vy_kmps,vz_kmps,ax_kmps2,ay_kmps2,az_kmps2,age_ms
2025-01-01T00:00:00.000000Z,3903.1291990636137,2007.572867083087,4766.310300369921,-1.80001172986467,-2.5460470504334207,2.922914386373716,0.0304545827188025,-0.0780310099388671,-0.1586011763252392,296.27751469277496
2025-01-01T00:00:01.000000Z,3901.2705639165847,2004.980951261699,4769.245545104183,-1.8413233574062329,-2.630586901593762,2.853693052760882,0.0282787155907524,-0.0782283503530275,-0.1558912845675074,296.2931391255545
2025-01-01T00:00:02.000000Z,3899.5737343589776,2002.2064339088424,4771.821134730392,-1.72065922853545,-2.7847726410469007,2.5557841628202165,0.0496681334455208,-0.0970028516430718,-0.1891823546738611,296.3099493319746
2025-01-01T00:00:03.000000Z,3897.881882704592,1999.6709420541777,4774.372271897672,-1.6724146261883406,-2.65218039345551,2.437129068383391,0.0476781163595112,-0.0144667305679137,-0.1634319140747843,296.32556480065887
2025-01-01T00:00:04.000000Z,3896.158640619757,1996.754793565141,4776.748019896805,-1.6782299726771168,-2.8582440276231216,2.2885418003837796,0.0304259287835604,-0.0780986982679522,-0.1585785915227103,296.34117760164645
2025-01-01T00:00:05.000000Z,3894.652448904409,1994.1176487911791,4779.278762085201,-1.545259363511455,-2.7640403433642584,2.3435673553487315,0.0593622209142882,-0.0290250116411463,-0.097610414509864,296.35797980499456
2025-01-01T00:00:06.000000Z,3892.73190923521,1991.2543247266435,4781.337286238531,-1.7196229880813907,-2.8414439621158776,2.1091725086766733,0.0021257224734471,-0.0407491245257524,-0.1311847894486049,296.3735724121052
2025-01-01T00:00:07.000000Z,3891.1787684072506,1988.285753811684,4783.860515315631,-1.633222170669661,-2.936675366428471,2.2224834916087026,0.0202659899786402,-0.0524962861362783,-0.0785393626559814,296.38916228371716
2025-01-01T00:00:08.000000Z,3889.164346655101,1985.4903546363937,4786.457497998308,-1.7911710974203363,-2.9122252295415367,2.3324843414782186,-0.0141265877767295,-0.0374791789777735,-0.042123144739843,296.40474939704177
2025-01-01T00:00:09.000000Z,3887.464932121571,1982.6521798553676,4788.92561432182,-1.764729929129519,-2.911466850973448,2.3551126091967567,-0.0070270588363108,-0.0307455972222339,-0.0306733740633731,296.4212874036236
2025-01-01T00:00:10.000000Z,3885.4973106716297,1979.9002218500589,4791.571760950139,-1.8478483158633976,-2.8751306842761166,2.441277858113689,-0.0196590981729263,-0.0195112571957162,-0.0112837945910025,296.43710735065406
2025-01-01T00:00:11.000000Z,3883.941653435423,1976.807755441674,4793.959979012564,-1.759656777182431,-2.9694399630964474,2.412851209443532,-0.0025491289480823,-0.0315599591810911,-0.0140604402650552,296.4526860525533
2025-01-01T00:00:12.000000Z,3882.113549511801,1973.86104319647,4796.449499726443,-1.7850739341620712,-2.9876455662964605,2.4273669194026577,-0.0061010886439188,-0.0294248822280275,-0.0095982181580704,296.4692155794951
2025-01-01T00:00:13.000000Z,3880.43062722937,1971.009074025188,4799.0764125964115,-1.757336764249764,-2.9676221796087137,2.4853683670137316,-0.001059912230231,-0.021806132815985,0.0009089717385784,296.4850269787203
2025-01-01T00:00:14.000000Z,3878.538303278572,1968.037070595623,4801.67348657196,-1.801634512057017,-2.986673106608386,2.522479854384637,-0.0077217946876367,-0.0212451448263652,0.006578370693923,296.5015507390144
2025-01-01T00:00:15.000000Z,3876.732807869171,1965.0397749166011,4804.199255611692,-1.8093563067446536,-3.007918251434751,2.52905822507856,-0.0077217946876367,-0.0212451448263652,0.006578370693923,296.51735632622956
2025-01-01T00:00:16.000000Z,3875.0455749696657,1962.8582956345772,4806.264912145258,-1.8040093084773057,-2.9325117277572073,2.481739122450348,-0.0060839126288981,-0.0076162311406837,-0.0010226175561474,296.5326821362873
2025-01-01T00:00:17.000000Z,3873.2072468503834,1960.100906008136,4808.84943138648,-1.816279337456213,-2.908560713729386,2.499077501801213,-0.0071863628933424,-0.0023694900069056,0.0020442325198829,296.54919707659934
2025-01-01T00:00:18.000000Z,3871.4375035202233,1957.0162864712868,4811.073302592469,-1.8088693698023897,-2.9585517594781714,2.4265985871518545,-0.0045334357612903,-0.0107519703122628,-0.0110083513181087,296.56499377590643
2025-01-01T00:00:19.000000Z,3869.6522073247743,1954.124968137995,4813.711602675948,-1.8056169981846617,-2.94477452846136,2.4887096859643143,-0.0032952884819944,-0.0065802724998666,0.0013982593016838,296.58054904875536
2025-01-01T00:00:20.000000Z,3867.8695992647936,1951.4438403211684,4816.2733906455105,-1.801753121409296,-2.856139766948541,2.5163555470483754,-0.0023242442571585,0.0087479059141724,0.0056714655995491,296.59729338402445
2025-01-01T00:00:21.000000Z,3866.0210036707463,1948.6356422918905,4818.692358152191,-1.8201253850798471,-2.8319694426789725,2.486744809555748,-0.0047976831124407,0.0111417418653884,0.000223913949724,296.61284257334125
2025-01-01T00:00:22.000000Z,3864.350876254853,1945.8504778995975,4820.99026849791,-1.7737498867977235,-2.807560345028588,2.422710738633387,0.0028337028298753,0.0130138305004433,-0.0095032985555923,296.62832950261486
2025-01-01T00:00:23.000000Z,3862.1637955809783,1942.8995954569991,4823.5742608537985,-1.9051658787994188,-2.8420235814650825,2.467796404323315,-0.0170531588057206,0.0061886868942262,-0.0012468122136316,296.6438133362043
2025-01-01T00:00:24.000000Z,3860.518728637406,1939.8547064987947,4825.898871935727,-1.8360586210378187,-2.9031260308863773,2.4203786605484456,-0.0038923815357857,-0.0043373055249241,-0.008388568257018,296.6602477258773
