epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,10047819.582829587,-14581282.235309288,23709571.828525674,3294.902645621547,3539.324845283672,784.7570894149229
2025-01-01T00:00:01.000000Z,10048988.018145695,-14579208.319596028,23710356.403271247,3294.801520616981,3539.4715777798788,784.3923997382842
2025-01-01T00:00:02.000000Z,10050156.42288329,-14577134.091303626,23711140.066247884,3294.700307981983,3539.6182075315305,784.0276802411073
2025-01-01T00:00:03.000000Z,10051325.183554731,-14575060.110953877,23711923.729224525,3294.5991342538096,3539.764870863334,783.6629607439303
2025-01-01T00:00:04.000000Z,10052494.300130067,-14572986.378587663,23712707.39220117,3294.497999436821,3539.911567770396,783.2982412467532
2025-01-01T00:00:05.000000Z,10053663.772579342,-14570912.894245865,23713491.055177808,3294.396903535376,3540.058298247819,782.9335217495762
2025-01-01T00:00:06.000000Z,10054832.053285385,-14568837.4183975,23714271.07024562,3294.2953405729054,3540.204516779615,782.5686833638861
2025-01-01T00:00:07.000000Z,10056000.690132087,-14566762.1904296,23715051.085313432,3294.193816455137,3540.350768945778,782.2038449781961
2025-01-01T00:00:08.000000Z,10057169.683089506,-14564687.210383069,23715831.100381248,3294.0923311864376,3540.49705474142,781.8390065925059
2025-01-01T00:00:09.000000Z,10058339.032127695,-14562612.478298796,23716611.11544906,3293.990884771169,3540.643374161652,781.4741682068158
2025-01-01T00:00:10.000000Z,10059508.737216707,-14560537.994217694,23717391.13051687,3293.8894772136987,3540.789727201586,781.1093298211258
2025-01-01T00:00:11.000000Z,10060678.798326597,-14558463.75818065,23718171.145584684,3293.7881085183876,3540.9361138563336,780.7444914354356
2025-01-01T00:00:12.000000Z,10061849.215427397,-14556389.770228552,23718951.160652496,3293.686778689601,3541.082534121004,780.3796530497456
2025-01-01T00:00:13.000000Z,10063019.988489153,-14554316.030402292,23719731.17572031,3293.585487731699,3541.228987990706,780.0148146640555
2025-01-01T00:00:14.000000Z,10064191.1174819,-14552242.53874275,23720511.190788124,3293.484235649044,3541.375475460551,779.6499762783654
2025-01-01T00:00:15.000000Z,10065362.602375666,-14550169.295290817,23721291.20585594,3293.3830224460003,3541.5219965256474,779.2851378926753
2025-01-01T00:00:16.000000Z,10066534.443140484,-14548096.300087364,23722071.22092375,3293.281848126926,3541.668551181104,778.9202995069852
2025-01-01T00:00:17.000000Z,10067706.639746372,-14546023.553173264,23722851.235991564,3293.1807126961826,3541.8151394220276,778.5554611212951
2025-01-01T00:00:18.000000Z,10068879.19216335,-14543951.054589402,23723631.251059376,3293.07961615813,3541.9617612435277,778.1906227356051
