epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,-19794465.02101995,-5601474.366086879,-21262551.94911456,-294.4539899366017,-4710.900413609577,1519.6041933372503
2025-01-01T00:00:01.000000Z,-19795576.44030484,-5603298.286572764,-21261032.181283914,-294.25455631281443,-4710.843969909615,1519.931464075186
2025-01-01T00:00:02.000000Z,-19796687.469049346,-5605121.859043841,-21259511.595363773,-294.05510446452445,-4710.787399000021,1520.2586765757458
2025-01-01T00:00:03.000000Z,-19797798.86900704,-5606945.299258051,-21257991.009443626,-293.85564593338665,-4710.730882229025,1520.5858890763056
2025-01-01T00:00:04.000000Z,-19798910.64016454,-5608768.607170953,-21256470.42352348,-293.65618072623573,-4710.6744195973,1520.913101576865
2025-01-01T00:00:05.000000Z,-19800022.782508463,-5610591.782738106,-21254949.83760334,-293.456708849907,-4710.618011105518,1521.240314077425
2025-01-01T00:00:06.000000Z,-19801132.24781668,-5612413.960517203,-21253425.98095754,-293.25718443979366,-4710.560931419701,1521.5672932744308
2025-01-01T00:00:07.000000Z,-19802242.08415833,-5614236.006306236,-21251902.12431174,-293.0576532683891,-4710.503905881866,1521.8942724714366
2025-01-01T00:00:08.000000Z,-19803352.291520067,-5616057.920060785,-21250378.26766594,-292.8581153425291,-4710.446934492694,1522.2212516684426
2025-01-01T00:00:09.000000Z,-19804462.869888533,-5617879.701736425,-21248854.411020145,-292.65857066904994,-4710.390017252867,1522.5482308654489
2025-01-01T00:00:10.000000Z,-19805573.819250368,-5619701.351288739,-21247330.554374345,-292.45901925478773,-4710.333154163069,1522.8752100624545
2025-01-01T00:00:11.000000Z,-19806685.139592204,-5621522.868673306,-21245806.697728544,-292.25946110657907,-4710.276345223977,1523.2021892594605
2025-01-01T00:00:12.000000Z,-19807796.830900684,-5623344.253845708,-21244282.841082744,-292.0598962312601,-4710.219590436271,1523.5291684564663
2025-01-01T00:00:13.000000Z,-19808908.89316242,-5625165.50676153,-21242758.984436948,-291.8603246356675,-4710.162889800631,1523.856147653472
2025-01-01T00:00:14.000000Z,-19810021.326364037,-5626986.627376356,-21241235.127791148,-291.6607463266376,-4710.106243317734,1524.1831268504782
2025-01-01T00:00:15.000000Z,-19811134.13049215,-5628807.615645774,-21239711.271145348,-291.46116131100666,-4710.049650988259,1524.510106047484
2025-01-01T00:00:16.000000Z,-19812247.305533383,-5630628.471525368,-21238187.414499547,-291.26156959561166,-4709.99311281288,1524.8370852444898
2025-01-01T00:00:17.000000Z,-19813360.851474337,-5632449.194970729,-21236663.55785375,-291.0619711872892,-4709.936628792274,1525.1640644414958
2025-01-01T00:00:18.000000Z,-19814474.76830161,-5634269.785937446,-21235139.70120795,-290.8623660928761,-4709.880198927119,1525.491043638502
2025-01-01T00:00:19.000000Z,-19815589.056001805,-5636090.244381109,-21233615.84456215,-290.66275431920894,-4709.823823218085,1525.818022835508
2025-01-01T00:00:20.000000Z,-19816703.71456152,-5637910.570257313,-21232091.98791635,-290.4631358731247,-4709.767501665849,1526.1450020325135
2025-01-01T00:00:21.000000Z,-19817818.743967343,-5639730.763521647,-21230568.13127055,-290.2635107614606,-4709.7112342710825,1526.4719812295195
2025-01-01T00:00:22.000000Z,-19818921.93516919,-5641547.320466308,-21229031.217959628,-290.06370148619607,-4709.65212049263,1526.7980215559608
2025-01-01T00:00:23.000000Z,-19820025.496679407,-5643363.746490903,-21227494.3046487,-289.86388513600485,-4709.593060898895,1527.1240618824015
2025-01-01T00:00:24.000000Z,-19821129.42848473,-5645180.041551089,-21225957.391337775,-289.66406171772655,-4709.534055490592,1527.4501022088432
2025-01-01T00:00:25.000000Z,-19822233.730571967,-5646996.20560252,-21224420.478026852,-289.46423123820136,-4709.475104268443,1527.7761425352842
2025-01-01T00:00:26.000000Z,-19823338.402927853,-5648812.23860085,-21222883.56471593,-289.2643937042693,-4709.416207233161,1528.1021828617254
2025-01-01T00:00:27.000000Z,-19824443.44553916,-5650628.140501736,-21221346.651405003,-289.06454912277087,-4709.357364385462,1528.4282231881666
2025-01-01T00:00:28.000000Z,-19825548.858392622,-5652443.911260837,-21219809.738094073,-288.86469750054584,-4709.2985757260585,1528.7542635146076
2025-01-01T00:00:29.000000Z,-19826654.641475003,-5654259.550833812,-21218272.82478315,-288.6648388444347,-4709.239841255665,1529.080303841049
2025-01-01T00:00:30.000000Z,-19827760.79477305,-5656075.059176323,-21216735.911472224,-288.46497316127767,-4709.181160974996,1529.40634416749
2025-01-01T00:00:31.000000Z,-19828867.318273496,-5657890.436244028,-21215198.9981613,-288.2651004579154,-4709.122534884763,1529.7323844939312
2025-01-01T00:00:32.000000Z,-19829974.21196308,-5659705.681992593,-21213662.084850375,-288.0652207411884,-4709.063962985678,1530.0584248203725
2025-01-01T00:00:33.000000Z,-19831081.47582853,-5661520.796377683,-21212125.171539452,-287.86533401793685,-4709.005445278449,1530.3844651468137
2025-01-01T00:00:34.000000Z,-19832189.10985657,-5663335.779354962,-21210588.25822852,-287.66544029500176,-4708.946981763791,1530.710505473255
2025-01-01T00:00:35.000000Z,-19833297.114033923,-5665150.630880096,-21209051.3449176,-287.46553957922345,-4708.88857244241,1531.036545799696
2025-01-01T00:00:36.000000Z,-19834405.488347307,-5666965.350908754,-21207514.431606673,-287.26563187744307,-4708.830217315015,1531.362586126137
2025-01-01T00:00:37.000000Z,-19835514.23278344,-5668779.939396607,-21205977.518295743,-287.0657171965012,-4708.771916382317,1531.688626452578
2025-01-01T00:00:38.000000Z,-19836623.347329028,-5670594.396299322,-21204440.604984824,-286.86579554323873,-4708.713669645019,1532.0146667790193
2025-01-01T00:00:39.000000Z,-19837732.83197077,-5672408.721572573,-21202903.691673893,-286.6658669244968,-4708.655477103831,1532.3407071054608
2025-01-01T00:00:40.000000Z,-19838842.68669536,-5674222.915172033,-21201366.77836297,-286.46593134711617,-4708.597338759456,1532.6667474319015
2025-01-01T00:00:41.000000Z,-19839952.911489513,-5676036.977053375,-21199829.865052044,-286.26598881793814,-4708.539254612602,1532.992787758343
2025-01-01T00:00:42.000000Z,-19841063.506339904,-5677850.907172276,-21198292.95174112,-286.06603934380377,-4708.481224663974,1533.318828084784
2025-01-01T00:00:43.000000Z,-19842174.47123322,-5679664.705484411,-21196756.038430195,-285.8660829315541,-4708.423248914272,1533.6448684112252
2025-01-01T00:00:44.000000Z,-19843285.806156144,-5681478.371945458,-21195219.12511927,-285.6661195880307,-4708.365327364202,1533.9709087376666
2025-01-01T00:00:45.000000Z,-19844397.511095352,-5683291.906511097,-21193682.211808342,-285.4661493200748,-4708.307460014467,1534.2969490641076
2025-01-01T00:00:46.000000Z,-19845509.586037517,-5685105.309137008,-21192145.29849742,-285.26617213452784,-4708.249646865765,1534.6229893905488
2025-01-01T00:00:47.000000Z,-19846622.03096931,-5686918.579778875,-21190608.385186493,-285.06618803823113,-4708.191887918801,1534.9490297169898
2025-01-01T00:00:48.000000Z,-19847734.84587739,-5688731.718392377,-21189071.47187557,-284.8661970380265,-4708.134183174272,1535.275070043431
2025-01-01T00:00:49.000000Z,-19848848.03074842,-5690544.7249332005,-21187534.558564644,-284.66619914075534,-4708.076532632881,1535.6011103698725
2025-01-01T00:00:50.000000Z,-19849961.585569058,-5692357.599357029,-21185997.64525372,-284.46619435325954,-4708.018936295325,1535.9271506963134
2025-01-01T00:00:51.000000Z,-19851075.51032593,-5694170.341619551,-21184460.73194279,-284.2661826823806,-4707.9613941623,1536.253191022755
2025-01-01T00:00:52.000000Z,-19852189.80500571,-5695982.951676453,-21182923.81863187,-284.0661641349604,-4707.903906234506,1536.5792313491957
2025-01-01T00:00:53.000000Z,-19853304.469595022,-5697795.429483426,-21181386.905320942,-283.866138717841,-4707.8464725126405,1536.905271675637
2025-01-01T00:00:54.000000Z,-19854419.504080515,-5699607.7749961605,-21179849.992010016,-283.66610643786385,-4707.789092997397,1537.231312002078
