epoch_utc,meas_gen_epoch_utc,tri_ready_epoch_utc,age_transport_ms,proc_latency_ms,photon_ms,photon_policy,age_total_ms,leader_id,best_ground,t_first_arrive_leader_s,t_last_arrive_leader_s,t_publish_s,n_sats_req,n_sats_used,sats_requested,sats_used,run_id,target,path_down
2025-01-01T00:00:10.000000Z,2025-01-01T00:00:10.000000Z,2025-01-01T00:00:10.169507Z,169.50726509094238,15.0,87.38411204122019,max,256.8913771321626,MEO_P1_S2,gs1,1735689610.0,1735689610.0756333,1735689610.1695073,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:11.000000Z,2025-01-01T00:00:11.000000Z,2025-01-01T00:00:11.169507Z,169.50726509094238,15.0,87.38884973668009,max,256.89611482762245,MEO_P1_S2,gs1,1735689611.0,1735689611.0756333,1735689611.1695073,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:12.000000Z,2025-01-01T00:00:12.000000Z,2025-01-01T00:00:12.169507Z,169.50702667236328,15.0,87.39360322522518,max,256.9006298975885,MEO_P1_S2,gs1,1735689612.0,1735689612.0756333,1735689612.169507,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:13.000000Z,2025-01-01T00:00:13.000000Z,2025-01-01T00:00:13.169507Z,169.50702667236328,15.0,87.3983725048868,max,256.90539917725005,MEO_P1_S2,gs1,1735689613.0,1735689613.0756333,1735689613.169507,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:14.000000Z,2025-01-01T00:00:14.000000Z,2025-01-01T00:00:14.169506Z,169.50678825378418,15.0,87.40315757373479,max,256.909945827519,MEO_P1_S2,gs1,1735689614.0,1735689614.0756333,1735689614.1695068,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:15.000000Z,2025-01-01T00:00:15.000000Z,2025-01-01T00:00:15.169506Z,169.50678825378418,15.0,87.4079584298776,max,256.91474668366175,MEO_P1_S2,gs1,1735689615.0,1735689615.0756333,1735689615.1695068,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:16.000000Z,2025-01-01T00:00:16.000000Z,2025-01-01T00:00:16.169506Z,169.50654983520508,15.0,87.41277507146205,max,256.91932490666716,MEO_P1_S2,gs1,1735689616.0,1735689616.0756333,1735689616.1695065,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:17.000000Z,2025-01-01T00:00:17.000000Z,2025-01-01T00:00:17.169506Z,169.50654983520508,15.0,87.41760749667358,max,256.92415733187863,MEO_P1_S2,gs1,1735689617.0,1735689617.0756333,1735689617.1695065,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:18.000000Z,2025-01-01T00:00:18.000000Z,2025-01-01T00:00:18.169506Z,169.50631141662598,15.0,87.42245570373584,max,256.92876712036184,MEO_P1_S2,gs1,1735689618.0,1735689618.0756333,1735689618.1695063,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:19.000000Z,2025-01-01T00:00:19.000000Z,2025-01-01T00:00:19.169506Z,169.50631141662598,15.0,87.42731969091089,max,256.9336311075369,MEO_P1_S2,gs1,1735689619.0,1735689619.0756333,1735689619.1695063,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
2025-01-01T00:00:20.000000Z,2025-01-01T00:00:20.000000Z,2025-01-01T00:00:20.169506Z,169.50607299804688,15.0,87.43219945649903,max,256.9382724545459,MEO_P1_S2,gs1,1735689620.0,1735689620.0756333,1735689620.169506,11,2,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2",20251020T154731Z,HGV_330,MEO_P1_S2->gs1
