epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
2025-01-01T00:00:00.000000Z,3903428.297693566,2007976.919898685,4766963.980938112,-1710.0863244882785,-2786.0774848370347,2539.759603398852,-2.890361760277301,-1.263907502638176,-3.2847357490099967
2025-01-01T00:00:01.000000Z,3901718.2113690777,2005190.842413848,4769503.740541511,-1712.9766862485558,-2787.341392339673,2536.474867649842,-4.335059163277037,-1.8950103910756295,-4.927994122495875
2025-01-01T00:00:02.000000Z,3900002.344321069,2002402.2371140055,4772036.930673412,-1718.7564428148326,-2789.867505619186,2529.9036151538603,-5.778791814576834,-2.5244125312310643,-6.573036592453718
2025-01-01T00:00:03.000000Z,3898280.698483448,1999611.1074026097,4774563.547771819,-1724.5342698777094,-2792.390217402135,2523.3287944649346,-5.7768667105119675,-2.521012980898377,-6.576610989868641
2025-01-01T00:00:04.000000Z,3896553.2757813134,1996817.4566792017,4777083.588262342,-1730.3101762358565,-2794.9095315809827,2516.750393174123,-5.774950395687483,-2.517617307952605,-6.580197811126709
2025-01-01T00:00:05.000000Z,3894820.078130976,1994021.2883394477,4779597.048558167,-1736.0841706690844,-2797.42545201804,2510.168398842681,-5.773042852175422,-2.5142254818347283,-6.583797085797414
2025-01-01T00:00:06.000000Z,3893081.1074399753,1991222.6057751656,4782103.925060027,-1741.856261940207,-2799.937982544652,2503.582799002528,-5.771144061349332,-2.5108374708797783,-6.587408843450248
2025-01-01T00:00:07.000000Z,3891336.365607096,1988421.4123743584,4784604.214156172,-1747.626458791783,-2802.4471269598,2496.9935811557807,-5.769254005164839,-2.507453244412318,-6.5910331145860255
2025-01-01T00:00:08.000000Z,3889585.854522392,1985617.7115212455,4787097.912222339,-1753.394769950537,-2804.952889033477,2490.400732773356,-5.767372666508891,-2.504072771698702,-6.594669928075746
2025-01-01T00:00:09.000000Z,3887829.576067195,1982811.5065962912,4789585.015621719,-1759.1612041248009,-2807.455272503197,2483.804241299629,-5.765500026405789,-2.5006960208993405,-6.598319312557578
2025-01-01T00:00:10.000000Z,3886067.532114142,1980002.8009762391,4792065.520704938,-1764.9257700033486,-2809.9542810752755,2477.204094148241,-5.763636066345498,-2.4973229612223804,-6.601981299230829
2025-01-01T00:00:11.000000Z,3884299.724527188,1977191.598034141,4794539.423810015,-1770.688476257492,-2812.449918425642,2470.6002787011676,-5.761780768050812,-2.4939535616431385,-6.6056559178978205
2025-01-01T00:00:12.000000Z,3882526.155161627,1974377.901139388,4797006.72126234,-1776.4493315394502,-2814.942188198562,2463.9927823124453,-5.7599341130116954,-2.4905877906712703,-6.609343197895214
2025-01-01T00:00:13.000000Z,3880746.825864109,1971561.713657744,4799467.40937464,-1782.2083444835152,-2817.4310940069845,2457.381592305377,-5.758096083649434,-2.487225617282093,-6.613043169258162
2025-01-01T00:00:14.000000Z,3878961.73847266,1968743.038951374,4801921.484446951,-1787.965523706749,-2819.916639433126,2450.766695973929,-5.756266662152484,-2.4838670105673373,-6.6167558615561575
2025-01-01T00:00:15.000000Z,3877170.894816696,1965921.8803788775,4804368.942766588,-1793.7208778078202,-2822.398828028119,2444.148080582265,-5.754445829195902,-2.48051193903666,-6.620481304824352
2025-01-01T00:00:16.000000Z,3875374.296717045,1963098.241295318,4806809.780608116,-1799.4744153651409,-2824.8776633111993,2437.5257333642803,-5.75263356603682,-2.4771603712579235,-6.62421952933073
2025-01-01T00:00:17.000000Z,3873571.9459859654,1960272.125052255,4809243.994233317,-1805.226144939894,-2827.353148770635,2430.8996415236033,-5.750829855212942,-2.4738122759736143,-6.627970565110445
2025-01-01T00:00:18.000000Z,3871763.8444271646,1957443.5349977768,4811671.579891163,-1810.9760750755668,-2829.8252878631465,2424.2697922340594,-5.749034677632153,-2.470467621809803,-6.631734441500157
2025-01-01T00:00:19.000000Z,3869949.9938358143,1954612.4744765288,4814092.533817785,-1816.7242142951584,-2832.2940840142546,2417.636172640603,-5.747248014435172,-2.46712637739256,-6.63551118853502
2025-01-01T00:00:20.000000Z,3868130.3959985743,1951778.946829748,4816506.852236444,-1822.470571104437,-2834.7595406179316,2410.9987698569894,-5.74546984792687,-2.4637885112897493,-6.639300836948678
2025-01-01T00:00:21.000000Z,3866305.0526936054,1948942.955395293,4818914.531357499,-1828.215153991012,-2837.221661036834,2404.3575709667057,-5.743700158898719,-2.460453992127441,-6.643103416077793
2025-01-01T00:00:22.000000Z,3864473.965690592,1946104.5035076744,4821315.567378378,-1833.9579714222343,-2839.6804486021865,2397.712563024834,-5.741938928258605,-2.457122788007837,-6.646918955491856
2025-01-01T00:00:23.000000Z,3862637.136750761,1943263.5944980888,4823709.9564835485,-1839.699031847529,-2842.13590661285,2391.063733055722,-5.7401861370308325,-2.453794866742101,-6.6507474856916815
2025-01-01T00:00:24.000000Z,3860794.5676268977,1940420.2316944487,4826097.694844489,-1845.438343696296,-2844.5880383356707,2384.4110680534504,-5.738441766356118,-2.4504701973637566,-6.6545890357811
2025-01-01T00:00:25.000000Z,3858946.260063368,1937574.4184214172,4828478.778619655,-1851.1759153802411,-2847.0368470075773,2377.75455498416,-5.736705797025934,-2.4471487479750067,-6.658443635795265
2025-01-01T00:00:26.000000Z,3857092.2157961368,1934726.1580004336,4830853.203954457,-1856.911755290348,-2849.4823358316207,2371.09418078186,-5.734978208784014,-2.4438304855138995,-6.662311315536499
2025-01-01T00:00:27.000000Z,3855232.436552788,1931875.453749754,4833220.966981219,-1862.6458717978096,-2851.924507978605,2364.4299323530868,-5.733258983120322,-2.440515378722921,-6.66619210364297
